SECUCODE,SECURITY_CODE,SECURITY_NAME_ABBR,ORG_CODE,ORG_TYPE,REPORT_DATE,REPORT_TYPE,REPORT_DATE_NAME,SECURITY_TYPE_CODE,NOTICE_DATE,UPDATE_DATE,CURRENCY,SALES_SERVICES,DEPOSIT_INTERBANK_ADD,LOAN_PBC_ADD,OFI_BF_ADD,RECEIVE_ORIGIC_PREMIUM,RECEIVE_REINSURE_NET,INSURED_INVEST_ADD,DISPOSAL_TFA_ADD,RECEIVE_INTEREST_COMMISSION,BORROW_FUND_ADD,LOAN_ADVANCE_REDUCE,REPO_BUSINESS_ADD,RECEIVE_TAX_REFUND,RECEIVE_OTHER_OPERATE,OPERATE_INFLOW_OTHER,OPERATE_INFLOW_BALANCE,TOTAL_OPERATE_INFLOW,BUY_SERVICES,LOAN_ADVANCE_ADD,PBC_INTERBANK_ADD,PAY_ORIGIC_COMPENSATE,PAY_INTEREST_COMMISSION,PAY_POLICY_BONUS,PAY_STAFF_CASH,PAY_ALL_TAX,PAY_OTHER_OPERATE,OPERATE_OUTFLOW_OTHER,OPERATE_OUTFLOW_BALANCE,TOTAL_OPERATE_OUTFLOW,OPERATE_NETCASH_OTHER,OPERATE_NETCASH_BALANCE,NETCASH_OPERATE,WITHDRAW_INVEST,RECEIVE_INVEST_INCOME,DISPOSAL_LONG_ASSET,DISPOSAL_SUBSIDIARY_OTHER,REDUCE_PLEDGE_TIMEDEPOSITS,RECEIVE_OTHER_INVEST,INVEST_INFLOW_OTHER,INVEST_INFLOW_BALANCE,TOTAL_INVEST_INFLOW,CONSTRUCT_LONG_ASSET,INVEST_PAY_CASH,PLEDGE_LOAN_ADD,OBTAIN_SUBSIDIARY_OTHER,ADD_PLEDGE_TIMEDEPOSITS,PAY_OTHER_INVEST,INVEST_OUTFLOW_OTHER,INVEST_OUTFLOW_BALANCE,TOTAL_INVEST_OUTFLOW,INVEST_NETCASH_OTHER,INVEST_NETCASH_BALANCE,NETCASH_INVEST,ACCEPT_INVEST_CASH,SUBSIDIARY_ACCEPT_INVEST,RECEIVE_LOAN_CASH,ISSUE_BOND,RECEIVE_OTHER_FINANCE,FINANCE_INFLOW_OTHER,FINANCE_INFLOW_BALANCE,TOTAL_FINANCE_INFLOW,PAY_DEBT_CASH,ASSIGN_DIVIDEND_PORFIT,SUBSIDIARY_PAY_DIVIDEND,BUY_SUBSIDIARY_EQUITY,PAY_OTHER_FINANCE,SUBSIDIARY_REDUCE_CASH,FINANCE_OUTFLOW_OTHER,FINANCE_OUTFLOW_BALANCE,TOTAL_FINANCE_OUTFLOW,FINANCE_NETCASH_OTHER,FINANCE_NETCASH_BALANCE,NETCASH_FINANCE,RATE_CHANGE_EFFECT,CCE_ADD_OTHER,CCE_ADD_BALANCE,CCE_ADD,BEGIN_CCE,END_CCE_OTHER,END_CCE_BALANCE,END_CCE,NETPROFIT,ASSET_IMPAIRMENT,FA_IR_DEPR,OILGAS_BIOLOGY_DEPR,IR_DEPR,IA_AMORTIZE,LPE_AMORTIZE,DEFER_INCOME_AMORTIZE,PREPAID_EXPENSE_REDUCE,ACCRUED_EXPENSE_ADD,DISPOSAL_LONGASSET_LOSS,FA_SCRAP_LOSS,FAIRVALUE_CHANGE_LOSS,FINANCE_EXPENSE,INVEST_LOSS,DEFER_TAX,DT_ASSET_REDUCE,DT_LIAB_ADD,PREDICT_LIAB_ADD,INVENTORY_REDUCE,OPERATE_RECE_REDUCE,OPERATE_PAYABLE_ADD,OTHER,OPERATE_NETCASH_OTHERNOTE,OPERATE_NETCASH_BALANCENOTE,NETCASH_OPERATENOTE,DEBT_TRANSFER_CAPITAL,CONVERT_BOND_1YEAR,FINLEASE_OBTAIN_FA,UNINVOLVE_INVESTFIN_OTHER,END_CASH,BEGIN_CASH,END_CASH_EQUIVALENTS,BEGIN_CASH_EQUIVALENTS,CCE_ADD_OTHERNOTE,CCE_ADD_BALANCENOTE,CCE_ADDNOTE,SALES_SERVICES_YOY,DEPOSIT_INTERBANK_ADD_YOY,LOAN_PBC_ADD_YOY,OFI_BF_ADD_YOY,RECEIVE_ORIGIC_PREMIUM_YOY,RECEIVE_REINSURE_NET_YOY,INSURED_INVEST_ADD_YOY,DISPOSAL_TFA_ADD_YOY,RECEIVE_INTEREST_COMMISSION_YOY,BORROW_FUND_ADD_YOY,LOAN_ADVANCE_REDUCE_YOY,REPO_BUSINESS_ADD_YOY,RECEIVE_TAX_REFUND_YOY,RECEIVE_OTHER_OPERATE_YOY,OPERATE_INFLOW_OTHER_YOY,OPERATE_INFLOW_BALANCE_YOY,TOTAL_OPERATE_INFLOW_YOY,BUY_SERVICES_YOY,LOAN_ADVANCE_ADD_YOY,PBC_INTERBANK_ADD_YOY,PAY_ORIGIC_COMPENSATE_YOY,PAY_INTEREST_COMMISSION_YOY,PAY_POLICY_BONUS_YOY,PAY_STAFF_CASH_YOY,PAY_ALL_TAX_YOY,PAY_OTHER_OPERATE_YOY,OPERATE_OUTFLOW_OTHER_YOY,OPERATE_OUTFLOW_BALANCE_YOY,TOTAL_OPERATE_OUTFLOW_YOY,OPERATE_NETCASH_OTHER_YOY,OPERATE_NETCASH_BALANCE_YOY,NETCASH_OPERATE_YOY,WITHDRAW_INVEST_YOY,RECEIVE_INVEST_INCOME_YOY,DISPOSAL_LONG_ASSET_YOY,DISPOSAL_SUBSIDIARY_OTHER_YOY,REDUCE_PLEDGE_TIMEDEPOSITS_YOY,RECEIVE_OTHER_INVEST_YOY,INVEST_INFLOW_OTHER_YOY,INVEST_INFLOW_BALANCE_YOY,TOTAL_INVEST_INFLOW_YOY,CONSTRUCT_LONG_ASSET_YOY,INVEST_PAY_CASH_YOY,PLEDGE_LOAN_ADD_YOY,OBTAIN_SUBSIDIARY_OTHER_YOY,ADD_PLEDGE_TIMEDEPOSITS_YOY,PAY_OTHER_INVEST_YOY,INVEST_OUTFLOW_OTHER_YOY,INVEST_OUTFLOW_BALANCE_YOY,TOTAL_INVEST_OUTFLOW_YOY,INVEST_NETCASH_OTHER_YOY,INVEST_NETCASH_BALANCE_YOY,NETCASH_INVEST_YOY,ACCEPT_INVEST_CASH_YOY,SUBSIDIARY_ACCEPT_INVEST_YOY,RECEIVE_LOAN_CASH_YOY,ISSUE_BOND_YOY,RECEIVE_OTHER_FINANCE_YOY,FINANCE_INFLOW_OTHER_YOY,FINANCE_INFLOW_BALANCE_YOY,TOTAL_FINANCE_INFLOW_YOY,PAY_DEBT_CASH_YOY,ASSIGN_DIVIDEND_PORFIT_YOY,SUBSIDIARY_PAY_DIVIDEND_YOY,BUY_SUBSIDIARY_EQUITY_YOY,PAY_OTHER_FINANCE_YOY,SUBSIDIARY_REDUCE_CASH_YOY,FINANCE_OUTFLOW_OTHER_YOY,FINANCE_OUTFLOW_BALANCE_YOY,TOTAL_FINANCE_OUTFLOW_YOY,FINANCE_NETCASH_OTHER_YOY,FINANCE_NETCASH_BALANCE_YOY,NETCASH_FINANCE_YOY,RATE_CHANGE_EFFECT_YOY,CCE_ADD_OTHER_YOY,CCE_ADD_BALANCE_YOY,CCE_ADD_YOY,BEGIN_CCE_YOY,END_CCE_OTHER_YOY,END_CCE_BALANCE_YOY,END_CCE_YOY,NETPROFIT_YOY,ASSET_IMPAIRMENT_YOY,FA_IR_DEPR_YOY,OILGAS_BIOLOGY_DEPR_YOY,IR_DEPR_YOY,IA_AMORTIZE_YOY,LPE_AMORTIZE_YOY,DEFER_INCOME_AMORTIZE_YOY,PREPAID_EXPENSE_REDUCE_YOY,ACCRUED_EXPENSE_ADD_YOY,DISPOSAL_LONGASSET_LOSS_YOY,FA_SCRAP_LOSS_YOY,FAIRVALUE_CHANGE_LOSS_YOY,FINANCE_EXPENSE_YOY,INVEST_LOSS_YOY,DEFER_TAX_YOY,DT_ASSET_REDUCE_YOY,DT_LIAB_ADD_YOY,PREDICT_LIAB_ADD_YOY,INVENTORY_REDUCE_YOY,OPERATE_RECE_REDUCE_YOY,OPERATE_PAYABLE_ADD_YOY,OTHER_YOY,OPERATE_NETCASH_OTHERNOTE_YOY,OPERATE_NETCASH_BALANCENOTE_YOY,NETCASH_OPERATENOTE_YOY,DEBT_TRANSFER_CAPITAL_YOY,CONVERT_BOND_1YEAR_YOY,FINLEASE_OBTAIN_FA_YOY,UNINVOLVE_INVESTFIN_OTHER_YOY,END_CASH_YOY,BEGIN_CASH_YOY,END_CASH_EQUIVALENTS_YOY,BEGIN_CASH_EQUIVALENTS_YOY,CCE_ADD_OTHERNOTE_YOY,CCE_ADD_BALANCENOTE_YOY,CCE_ADDNOTE_YOY,OPINION_TYPE,OSOPINION_TYPE,MINORITY_INTEREST,MINORITY_INTEREST_YOY,USERIGHT_ASSET_AMORTIZE,USERIGHT_ASSET_AMORTIZE_YOY
600356.SH,600356,恒丰纸业,10002535,通用,2026-03-31 00:00:00,一季报,2026一季报,058001001,2026-04-30 00:00:00,2026-04-30 00:00:00,CNY,722172499.69,,,,,,,,,,,,,21216050.56,,0.0,743388550.25,376440986.37,,,,,,73735060.28,30036621.6,154468462.42,,0.0,634681130.67,,0.0,108707419.58,,,5940.94,,,13853063.03,,0.0,13859003.97,37844872.19,,,,,148435.6,,0.0,37993307.79,,0.0,-24134303.82,,,133803091.83,,,,0.0,133803091.83,95833333.33,14733216.61,,,,,,0.0,110566549.94,,0.0,23236541.89,,,0.0,107809657.65,613621944.99,,0.0,721431602.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-10.5290251503,,,,,,,,,,,,,-10.6431619439,,,-10.5322866166,-30.0946657259,,,,,,69.814863142,-43.9395110436,48.6946936358,,,-14.1608081161,,,18.7830560278,,,,,,,,,,17.989740824,,,,,,,,18.4525215644,,,24.7559817776,,,-10.1727522744,,,,,-10.1727522744,-15.9356725175,-1.0227974232,,,,,,,-14.2133287521,,,15.7742934014,,,,35.5866859827,91.3028064509,,,80.2349063098,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
600356.SH,600356,恒丰纸业,10002535,通用,2025-12-31 00:00:00,年报,2025年报,058001001,2026-04-15 00:00:00,2026-04-15 00:00:00,CNY,3068625155.79,,,,,,,,,,,,8348.06,55324752.6,,0.0,3123958256.45,2331341170.61,,,,,,260387320.06,130769326.23,135198613.92,,0.0,2857696430.82,,0.0,266261825.63,80000000.0,146218.19,31302405.41,,,,,0.0,111448623.6,140962308.98,80000000.0,,,,,,0.0,220962308.98,,0.0,-109513685.38,,,484050403.62,,,,0.0,484050403.62,281523111.54,63002788.01,14889000.0,,,,,0.0,344525899.55,,0.0,139524504.07,-140966.76,,0.0,296131677.56,317490267.43,,0.0,613621944.99,212113842.9,70477297.45,142456080.93,142456080.93,,10028858.88,,,,,-17447856.32,,,11810833.9,-146218.19,-2733976.68,-2733976.68,,,-229803053.66,78239602.73,-4286919.95,,,0.0,266261825.63,,,,,613621944.99,317490267.43,,,,,296131677.56,9.3178908034,,,,,,,,,,,,-98.5467648342,-2.8460952145,,,9.0544508113,8.5807586828,,,,,,4.4692873296,10.973345165,15.2543895345,,,8.5959633626,,,14.2305579105,,,,,,,,,,-53.2152107622,,,,,,,,-26.6635519102,,,63.6528748271,,,4.0543303591,,,,,4.0543303591,-23.433614604,-8.306969883,0.0,,,,,,-21.051921839,,,384.5524148708,86.5130191535,,,831.9385345323,-11.3028855339,,,93.2726788626,60.5153181191,39.1775952935,11.2398806214,11.2398806214,,5.4885652368,,,,,,,,0.5723815581,,42.4911618795,42.4911618795,,,-330.7038954712,141.1938843553,-103.0679283353,,,,14.2305579105,,,,,93.2726788626,-11.3028855339,,,,,831.9385345323,标准无保留意见,,,,322774.24,6791.7608274189
600356.SH,600356,恒丰纸业,10002535,通用,2025-09-30 00:00:00,三季报,2025三季报,058001001,2025-10-31 00:00:00,2025-10-31 00:00:00,CNY,2292232498.59,,,,,,,,,,,,8348.06,52534974.36,,0.0,2344775821.01,1670739390.93,,,,,,180184091.83,82824841.47,257031864.53,,0.0,2190780188.76,,0.0,153995632.25,,,,,,,,,,113210464.83,,,,,30000000.0,,0.0,143210464.83,,0.0,-143210464.83,,,354050403.62,,,,0.0,354050403.62,266950683.55,29067120.33,,,,,,0.0,296017803.88,,0.0,58032599.74,,,0.0,68817767.16,320759510.21,,0.0,389577277.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.0501497814,,,,,,,,,,,,-97.8017494557,117.1120051886,,,18.2491943872,30.8142074295,,,,,,2.3142988767,1.2931278256,27.7195082851,,,26.1746288107,,,-37.5531183805,,,,,,,,,,-42.3750981742,,,,,,,,-27.1048927442,,,27.1048927442,,,-14.1065244324,,,,,-14.1065244324,-22.1002710365,-15.5004028827,,,,,,,-21.4982046421,,,65.273986064,,,,-19.2796577299,-11.0578617172,,,-12.6298657833,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
600356.SH,600356,恒丰纸业,10002535,通用,2025-06-30 00:00:00,中报,2025中报,058001001,2025-08-28 00:00:00,2025-08-28 00:00:00,CNY,1596875083.44,,,,,,,,,,,,8348.06,36672535.02,,0.0,1633555966.52,1138027690.36,,,,,,122605789.92,55896031.13,169638541.34,,0.0,1486168052.75,,0.0,147387913.77,,,,,,,,,,71845384.96,,,,,,,0.0,71845384.96,,0.0,-71845384.96,,,306374403.62,,,,0.0,306374403.62,242950683.55,16655944.21,,,,,,0.0,259606627.76,,0.0,46767775.86,,,0.0,122310304.67,317490267.43,,0.0,439800572.1,96346626.13,7422273.03,67332648.39,67332648.39,,5101691.03,,,,,,,,2535924.76,,-2874814.48,-2874814.48,,,-503730428.77,123687457.42,351566536.26,,,0.0,147387913.77,,,,,439800572.1,317490267.43,,,,,122310304.67,28.6198812714,,,,,,,,,,,,-97.8017494557,199.0645815208,,,30.2480687333,30.5771781967,,,,,,2.9447070902,3.574357979,25.4604339542,,,25.9661985036,,,98.1731913051,,,,,,,,,,-29.3542015106,,,,,,,,-29.3542015106,,,29.3542015106,,,0.5682459555,,,,,0.5682459555,-9.2400819486,-43.8563513353,,,,,,,-12.6937335685,,,541.3902218887,,,,710.5405353829,-11.3028855339,,,30.1509754551,57.2624317727,70.9749143072,5.724634737,5.724634737,,8.1889631324,,,,,,,,-69.1595078057,,-22.1560737563,-22.1560737563,,,-8492.3858220571,603.749699706,848.7583028457,,,,98.1731913051,,,,,30.1509754551,-11.3028855339,,,,,710.5405353829,,,,,,
600356.SH,600356,恒丰纸业,10002535,通用,2025-03-31 00:00:00,一季报,2025一季报,058001001,2025-04-29 00:00:00,2026-04-30 00:00:00,CNY,807158411.88,,,,,,,,,,,,,23743063.23,,0.0,830901475.11,538501089.05,,,,,,43420851.93,53578950.45,103882968.95,,0.0,739383860.38,,0.0,91517614.73,,,,,,,,,,32074714.23,,,,,,,0.0,32074714.23,,0.0,-32074714.23,,,148956018.6,,,,0.0,148956018.6,114000000.0,14885464.76,,,,,,0.0,128885464.76,,0.0,20070553.84,,,0.0,79513454.34,320759510.21,,0.0,400272964.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.9764416074,,,,,,,,,,,,,860.3709727277,,,45.4232301143,30.8235766454,,,,,,-30.9729594609,216.4528064606,96.7734748961,,,35.8531477691,,,237.5104459477,,,,,,,,,,-18.0004748248,,,,,,,,-18.0004748248,,,18.0004748248,,,-18.1644001583,,,,,-18.1644001583,-22.0032840722,-16.5550275251,,,,,,,-21.4106597474,,,11.3796504155,,,,1220.8859519999,-11.0578617172,,,9.1679007283,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
600356.SH,600356,恒丰纸业,10002535,通用,2024-12-31 00:00:00,年报,2024年报,058001001,2025-04-29 00:00:00,2026-04-15 00:00:00,CNY,2807065827.23,,,,,,,,,,,,574446.6,56945475.04,,0.0,2864585748.87,2147103408.46,,,,,,249247723.15,117838500.8,117304524.77,,0.0,2631494157.18,,0.0,233091591.69,,,,,,,,,,301299442.14,,,,,,,0.0,301299442.14,,0.0,-301299442.14,,,465190061.72,,,,0.0,465190061.72,367684996.6,68710552.95,14889000.0,,,,,0.0,436395549.55,,0.0,28794512.17,-1045206.2,,0.0,-40458544.48,357948811.91,,0.0,317490267.43,132145545.6,50638392.84,128062058.44,128062058.44,,9507057.81,,,,,,230208.89,,11743615.61,,-4754011.33,-4754011.33,,,-53355229.91,-189930141.22,139733379.71,,,0.0,233091591.69,,,,,317490267.43,357948811.91,,,,,-40458544.48,2.5266504226,,,,,,,,,,,,432.779413827,-20.8468497173,,,1.9447237524,0.4123431672,,,,,,0.0812386972,9.2816603019,-1.4633148552,,,0.6612248227,,,19.0872290829,,,,,,,,,,192.6944548733,,,,,,,,192.6944548733,,,-192.9678782116,,,55.8117354606,,,,,55.8117354606,28.7583473786,14.4245119764,,,,,,,26.2678884002,,,161.1974645793,-127.9621122155,,,-181.6122707866,16.075927123,,,-11.3028855339,-11.4433483037,3.4701790246,4.1001402853,4.1001402853,,-0.6528989706,,,,,,,,14.8772544585,,-356.8333710443,-356.8333710443,,,74.627910494,-420.7828586871,2020.7453391321,,,,19.0872290829,,,,,-11.3028855339,16.075927123,,,,,-181.6122707866,标准无保留意见,,,,4683.48,200.0
600356.SH,600356,恒丰纸业,10002535,通用,2024-09-30 00:00:00,三季报,2024三季报,058001001,2024-10-30 00:00:00,2025-10-31 00:00:00,CNY,1958333673.96,,,,,,,,,,,,379759.26,24197176.16,,0.0,1982910609.38,1277184966.19,,,,,,176108416.72,81767483.39,201247145.39,,0.0,1736308011.69,,0.0,246602597.69,,,,,,,,,,196461011.2,,,,,,,0.0,196461011.2,,0.0,-196461011.2,,,412197086.31,,,,0.0,412197086.31,342684996.6,34399122.98,,,,,,0.0,377084119.58,,0.0,35112966.73,,,0.0,85254553.22,360638406.5,,0.0,445892959.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0385967798,,,,,,,,,,,,252.2136190521,114.5850946921,,,1.70923186,-10.7439408183,,,,,,2.6538627085,8.1209912314,11.8241340747,,,-6.5532158446,,,169.4633498432,,,,,,,,,,427.241841496,,,,,,,,427.241841496,,,-427.241841496,,,39.4621076504,,,,,39.4621076504,40.5806881537,-41.2926858881,,,,,,,24.7143718672,,,616.6615059324,,,,79.6419720464,16.8647376292,,,25.2322738129,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
600356.SH,600356,恒丰纸业,10002535,通用,2024-06-30 00:00:00,中报,2024中报,058001001,2024-08-21 00:00:00,2025-08-28 00:00:00,CNY,1241546071.77,379759.26,,,,,,,,,,,379759.26,12262413.3,,0.0,1254188244.33,871536440.04,,,,,,119098682.57,53967055.38,135212780.63,,0.0,1179814958.62,,0.0,74373285.71,,,,,,,,,,101698029.46,,,,,,,0.0,101698029.46,,0.0,-101698029.46,,,304643280.5,,,,0.0,304643280.5,267684996.6,29666657.95,,,,,,0.0,297351654.55,,0.0,7291625.95,,,0.0,-20033117.8,357948811.91,,0.0,337915694.11,61264871.11,4341147.39,63686811.08,63686811.08,,4715537.41,,,,,,,,8222711.7,,-2353394.63,-2353394.63,,,6002231.54,-24553356.06,-46953273.83,,,0.0,74373285.71,,,,,337915694.11,357948811.91,,,,,-20033117.8,-1.0170878297,252.2136190521,,,,,,,,,,,252.2136190521,1.495149209,,,-0.9715638571,-9.9318400013,,,,,,2.2199696855,-2.830908483,6.6768886965,,,-6.8402123772,,,146502.6542049074,,,,,,,,,,381.2778232479,,,,,,,,381.2778232479,,,-381.2778232479,,,16.9177407399,,,,,16.9177407399,23.8125349026,-32.2131373448,,,,,,,14.380772889,,,1124.2520023348,,,,2.2035626999,16.075927123,,,17.3765838289,8.4793626703,479.6862084433,3.5798964306,3.5798964306,,-1.472500653,,,,,,,,2588.9087727409,,34.4428978509,34.4428978509,,,-90.1138466632,-6.8414942385,69.7789020985,,,,146502.6542049074,,,,,17.3765838289,16.075927123,,,,,2.2035626999,,,,,,
600356.SH,600356,恒丰纸业,10002535,通用,2024-03-31 00:00:00,一季报,2024一季报,058001001,2024-04-30 00:00:00,2025-04-29 00:00:00,CNY,568515735.95,,,,,,,,,,,,379759.26,2472280.39,,0.0,571367775.6,411623885.28,,,,,,62904119.3,16931102.95,52793177.03,,0.0,544252284.56,,0.0,27115491.04,,,,,,,,,,39115731.66,,,,,,,0.0,39115731.66,,0.0,-39115731.66,,,182018606.68,,,,0.0,182018606.68,146160000.0,17838659.8,,,,,,0.0,163998659.8,,0.0,18019946.88,,,0.0,6019706.26,360638406.5,,0.0,366658112.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-3.8991878086,,,,,,,,,,,,252.2136190521,-53.1947810368,,,-4.2891020293,-16.206547248,,,,,,6.6203132446,-23.774501419,6.7614475265,,,-12.4850155396,,,208.7945542474,,,,,,,,,,368.6718842209,,,,,,,,368.6718842209,,,-368.6718842209,,,36.8560952481,,,,,36.8560952481,29.1144925203,60.6424831286,,,,,,,31.9309586059,,,107.2789333867,,,,124.4941673748,16.8647376292,,,29.096497665,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
600356.SH,600356,恒丰纸业,10002535,通用,2023-12-31 00:00:00,年报,2023年报,058001001,2024-03-15 00:00:00,2025-04-29 00:00:00,CNY,2737888944.64,,,,,,,,,,,,107820.72,71943409.5,,0.0,2809940174.86,2138286330.88,,,,,,249045401.91,107830079.15,119046550.63,,0.0,2614208362.57,,0.0,195731812.29,,0.0,96072.57,,,,,0.0,96072.57,102939921.52,,,,,,,0.0,102939921.52,,0.0,-102843848.95,,,298559065.75,,,,0.0,298559065.75,285562065.75,60048805.77,,,,,,0.0,345610871.52,,0.0,-47051805.77,3737937.22,,0.0,49574094.79,308374717.12,,0.0,357948811.91,149221479.21,48940084.3,123018142.04,123018142.04,,9569537.22,,,,,-81988.99,,,10222750.94,,1851009.98,1851009.98,,,-210291036.13,59208319.92,6588880.67,,,0.0,195731812.29,,,,,357948811.91,308374717.12,,,,,49574094.79,9.6072120878,,,,,,,,,,,,-98.9930102687,270.4105798038,,,11.1509677012,15.0240188842,,,,,,6.6274456571,-20.379860907,97.6336259176,,,14.2461868437,,,-18.3823659805,,-100.0,71.9658118128,,,,,,-99.6814752697,188.3083219292,,,,,,,,188.3083219292,,,-1755.3577363327,,,29.8794431754,,,,,29.8794431754,-2.5631513398,12.8507684894,,,,,,,-0.1946179251,,,59.581239431,-25.6461713825,,,-59.6594330681,66.2524861265,,,16.075927123,10.1499407383,19.4003248318,-19.6301593028,-19.6301593028,,-13.5366866897,,,,,-188.4281224954,,,-1.3237962558,,138.6681901475,138.6681901475,,,-43.4226910038,222.0521195459,-92.5779998294,,,,-18.3823659805,,,,,16.075927123,66.2524861265,,,,,-59.6594330681,标准无保留意见,,,,1561.16,
