SECUCODE,SECURITY_CODE,SECURITY_NAME_ABBR,ORG_CODE,ORG_TYPE,REPORT_DATE,REPORT_TYPE,REPORT_DATE_NAME,SECURITY_TYPE_CODE,NOTICE_DATE,UPDATE_DATE,CURRENCY,TOTAL_OPERATE_INCOME,TOTAL_OPERATE_INCOME_YOY,OPERATE_INCOME,OPERATE_INCOME_YOY,INTEREST_INCOME,INTEREST_INCOME_YOY,EARNED_PREMIUM,EARNED_PREMIUM_YOY,FEE_COMMISSION_INCOME,FEE_COMMISSION_INCOME_YOY,OTHER_BUSINESS_INCOME,OTHER_BUSINESS_INCOME_YOY,TOI_OTHER,TOI_OTHER_YOY,TOTAL_OPERATE_COST,TOTAL_OPERATE_COST_YOY,OPERATE_COST,OPERATE_COST_YOY,INTEREST_EXPENSE,INTEREST_EXPENSE_YOY,FEE_COMMISSION_EXPENSE,FEE_COMMISSION_EXPENSE_YOY,RESEARCH_EXPENSE,RESEARCH_EXPENSE_YOY,SURRENDER_VALUE,SURRENDER_VALUE_YOY,NET_COMPENSATE_EXPENSE,NET_COMPENSATE_EXPENSE_YOY,NET_CONTRACT_RESERVE,NET_CONTRACT_RESERVE_YOY,POLICY_BONUS_EXPENSE,POLICY_BONUS_EXPENSE_YOY,REINSURE_EXPENSE,REINSURE_EXPENSE_YOY,OTHER_BUSINESS_COST,OTHER_BUSINESS_COST_YOY,OPERATE_TAX_ADD,OPERATE_TAX_ADD_YOY,SALE_EXPENSE,SALE_EXPENSE_YOY,MANAGE_EXPENSE,MANAGE_EXPENSE_YOY,ME_RESEARCH_EXPENSE,ME_RESEARCH_EXPENSE_YOY,FINANCE_EXPENSE,FINANCE_EXPENSE_YOY,FE_INTEREST_EXPENSE,FE_INTEREST_EXPENSE_YOY,FE_INTEREST_INCOME,FE_INTEREST_INCOME_YOY,ASSET_IMPAIRMENT_LOSS,ASSET_IMPAIRMENT_LOSS_YOY,CREDIT_IMPAIRMENT_LOSS,CREDIT_IMPAIRMENT_LOSS_YOY,TOC_OTHER,TOC_OTHER_YOY,FAIRVALUE_CHANGE_INCOME,FAIRVALUE_CHANGE_INCOME_YOY,INVEST_INCOME,INVEST_INCOME_YOY,INVEST_JOINT_INCOME,INVEST_JOINT_INCOME_YOY,NET_EXPOSURE_INCOME,NET_EXPOSURE_INCOME_YOY,EXCHANGE_INCOME,EXCHANGE_INCOME_YOY,ASSET_DISPOSAL_INCOME,ASSET_DISPOSAL_INCOME_YOY,ASSET_IMPAIRMENT_INCOME,ASSET_IMPAIRMENT_INCOME_YOY,CREDIT_IMPAIRMENT_INCOME,CREDIT_IMPAIRMENT_INCOME_YOY,OTHER_INCOME,OTHER_INCOME_YOY,OPERATE_PROFIT_OTHER,OPERATE_PROFIT_OTHER_YOY,OPERATE_PROFIT_BALANCE,OPERATE_PROFIT_BALANCE_YOY,OPERATE_PROFIT,OPERATE_PROFIT_YOY,NONBUSINESS_INCOME,NONBUSINESS_INCOME_YOY,NONCURRENT_DISPOSAL_INCOME,NONCURRENT_DISPOSAL_INCOME_YOY,NONBUSINESS_EXPENSE,NONBUSINESS_EXPENSE_YOY,NONCURRENT_DISPOSAL_LOSS,NONCURRENT_DISPOSAL_LOSS_YOY,EFFECT_TP_OTHER,EFFECT_TP_OTHER_YOY,TOTAL_PROFIT_BALANCE,TOTAL_PROFIT_BALANCE_YOY,TOTAL_PROFIT,TOTAL_PROFIT_YOY,INCOME_TAX,INCOME_TAX_YOY,EFFECT_NETPROFIT_OTHER,EFFECT_NETPROFIT_OTHER_YOY,EFFECT_NETPROFIT_BALANCE,EFFECT_NETPROFIT_BALANCE_YOY,UNCONFIRM_INVEST_LOSS,UNCONFIRM_INVEST_LOSS_YOY,NETPROFIT,NETPROFIT_YOY,PRECOMBINE_PROFIT,PRECOMBINE_PROFIT_YOY,CONTINUED_NETPROFIT,CONTINUED_NETPROFIT_YOY,DISCONTINUED_NETPROFIT,DISCONTINUED_NETPROFIT_YOY,PARENT_NETPROFIT,PARENT_NETPROFIT_YOY,MINORITY_INTEREST,MINORITY_INTEREST_YOY,DEDUCT_PARENT_NETPROFIT,DEDUCT_PARENT_NETPROFIT_YOY,NETPROFIT_OTHER,NETPROFIT_OTHER_YOY,NETPROFIT_BALANCE,NETPROFIT_BALANCE_YOY,BASIC_EPS,BASIC_EPS_YOY,DILUTED_EPS,DILUTED_EPS_YOY,OTHER_COMPRE_INCOME,OTHER_COMPRE_INCOME_YOY,PARENT_OCI,PARENT_OCI_YOY,MINORITY_OCI,MINORITY_OCI_YOY,PARENT_OCI_OTHER,PARENT_OCI_OTHER_YOY,PARENT_OCI_BALANCE,PARENT_OCI_BALANCE_YOY,UNABLE_OCI,UNABLE_OCI_YOY,CREDITRISK_FAIRVALUE_CHANGE,CREDITRISK_FAIRVALUE_CHANGE_YOY,OTHERRIGHT_FAIRVALUE_CHANGE,OTHERRIGHT_FAIRVALUE_CHANGE_YOY,SETUP_PROFIT_CHANGE,SETUP_PROFIT_CHANGE_YOY,RIGHTLAW_UNABLE_OCI,RIGHTLAW_UNABLE_OCI_YOY,UNABLE_OCI_OTHER,UNABLE_OCI_OTHER_YOY,UNABLE_OCI_BALANCE,UNABLE_OCI_BALANCE_YOY,ABLE_OCI,ABLE_OCI_YOY,RIGHTLAW_ABLE_OCI,RIGHTLAW_ABLE_OCI_YOY,AFA_FAIRVALUE_CHANGE,AFA_FAIRVALUE_CHANGE_YOY,HMI_AFA,HMI_AFA_YOY,CASHFLOW_HEDGE_VALID,CASHFLOW_HEDGE_VALID_YOY,CREDITOR_FAIRVALUE_CHANGE,CREDITOR_FAIRVALUE_CHANGE_YOY,CREDITOR_IMPAIRMENT_RESERVE,CREDITOR_IMPAIRMENT_RESERVE_YOY,FINANCE_OCI_AMT,FINANCE_OCI_AMT_YOY,CONVERT_DIFF,CONVERT_DIFF_YOY,ABLE_OCI_OTHER,ABLE_OCI_OTHER_YOY,ABLE_OCI_BALANCE,ABLE_OCI_BALANCE_YOY,OCI_OTHER,OCI_OTHER_YOY,OCI_BALANCE,OCI_BALANCE_YOY,TOTAL_COMPRE_INCOME,TOTAL_COMPRE_INCOME_YOY,PARENT_TCI,PARENT_TCI_YOY,MINORITY_TCI,MINORITY_TCI_YOY,PRECOMBINE_TCI,PRECOMBINE_TCI_YOY,EFFECT_TCI_BALANCE,EFFECT_TCI_BALANCE_YOY,TCI_OTHER,TCI_OTHER_YOY,TCI_BALANCE,TCI_BALANCE_YOY,ACF_END_INCOME,ACF_END_INCOME_YOY,OPINION_TYPE
600552.SH,600552,凯盛科技,10002622,通用,2026-03-31 00:00:00,一季报,2026一季报,058001001,2026-04-30 00:00:00,2026-04-30 00:00:00,CNY,1455285530.51,15.065868374,1455285530.51,15.065868374,,,,,,,,,,,1436729431.11,15.2796463837,1189775359.4,14.3601838266,,,,,91979891.43,20.9031490644,,,,,,,,,,,,,14720546.66,94.4607304983,34032997.0,17.9312848617,71231439.19,3.0230364444,,,34989197.43,44.1253839476,30277300.61,9.3689923328,1953493.06,17.5298581048,,,,,,,-131734.2,-354.6004622205,-80554.43,-125.2779995561,,,,,,,30628.41,2838.2306386163,912593.05,-46.2736323933,3741490.71,4078.4654322843,7988018.84,-36.6089173811,,,0.0,,31016541.78,-6.58437993,2027492.72,86.869632548,,,1827542.75,106.1083666164,,,,,0.0,,31216491.75,-6.5403122351,4030780.5,-19.5142928046,,,,,,,27185711.25,-4.2519063078,,,27185711.25,-4.2519063078,,,27918293.82,17.0698793423,-732582.57,-116.1169865774,22327823.52,89.3979303685,,,,,0.0296,17.4603174603,0.0296,17.4603174603,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27185711.25,-4.2519063078,27918293.82,17.0698793423,-732582.57,-116.1169865774,,,,,,,,,,,
600552.SH,600552,凯盛科技,10002622,通用,2025-12-31 00:00:00,年报,2025年报,058001001,2026-03-31 00:00:00,2026-03-31 00:00:00,CNY,5879894415.53,20.1493346607,5879894415.53,20.1493346607,,,,,,,,,,,5706957691.78,18.4531793051,4818061864.54,18.5674637727,,,,,343558226.02,17.3535813638,,,,,,,,,,,,,44806854.32,47.2410382755,101083438.59,-2.060778932,279044613.23,11.6900875709,,,120402695.08,54.1535351066,118466073.83,6.1150197134,7337551.36,-40.0814482219,,,,,,,-93338.1,-131.451482792,1142734.11,-66.9487817896,,,,,,,-380720.32,-108.1918202523,-8427860.17,45.2522498642,-27602274.44,-67.7468743479,59724909.22,-68.1935278535,,,0.0,,197300174.05,-17.8768891968,6424615.44,224.9434573392,,,2804499.77,49.7523769888,,,,,0.0,,200920289.72,-16.4063949132,39231573.64,-14.3868102075,,,,,,,161688716.08,-16.8821372249,,,161688716.08,-16.8821372249,,,128668491.37,-8.1977644543,33020224.71,-39.2687958412,91318474.56,38081.8153240219,,,,,0.1362,-8.2210242588,0.1362,-8.2210242588,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,161688716.08,-16.8821372249,128668491.37,-8.1977644543,33020224.71,-39.2687958412,,,,,,,,,-925433.37,55.3870912002,标准无保留意见
600552.SH,600552,凯盛科技,10002622,通用,2025-09-30 00:00:00,三季报,2025三季报,058001001,2025-10-31 00:00:00,2025-10-31 00:00:00,CNY,4309676545.44,20.574866801,4309676545.44,20.574866801,,,,,,,,,,,4177984548.27,18.4406231444,3511562038.39,20.8195522671,,,,,271418065.79,12.7808665896,,,,,,,,,,,,,27836488.75,25.7395191572,84762759.55,7.4011028072,198987677.54,0.7210149542,,,83417518.25,2.029422195,88956912.3,11.4567358086,6229755.01,-28.7543427423,,,,,,,-45035.56,-53.7049829352,954947.25,-65.7547438961,,,,,,,369875.76,-87.8215144047,1698594.36,,-3625507.23,-344.5307872955,51043690.35,-58.103090148,,,0.0,,182088562.1,3.5228599273,2373200.71,119.0189221421,,,2872316.38,259.8861121001,,,,,0.0,,181589446.43,3.0718303816,15827748.24,-12.8771622527,,,,,,,165761698.18,4.9055574054,,,165761698.18,4.9055574054,,,128678693.38,15.0581391797,37083004.8,-19.6858308322,84022776.89,23212.7456823317,,,,,0.1362,15.0337837838,0.1362,15.0337837838,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,165761698.18,4.9055574054,128678693.38,15.0581391797,37083004.8,-19.6858308322,,,,,,,,,,,
600552.SH,600552,凯盛科技,10002622,通用,2025-06-30 00:00:00,中报,2025中报,058001001,2025-08-30 00:00:00,2025-08-30 00:00:00,CNY,2764548816.91,24.6970020674,2764548816.91,24.6970020674,,,,,,,,,,,2710802713.9,22.1162815494,2312220408.19,23.8318242232,,,,,145459218.71,25.755539627,,,,,,,,,,,,,16940349.03,16.9027613288,53788000.23,0.8128972628,129164207.38,1.8998869709,,,53230530.36,25.6686790762,59677875.24,13.5141324851,3799061.87,-42.96169413,,,,,,,-44554.05,-252.8572443116,864773.13,-59.5439748529,,,,,,,-60501.38,-363.6577251695,1698594.36,,-1031891.62,48.9191334011,27883854.23,-66.409427293,,,0.0,,83056377.68,3.381207443,1294641.14,61.7628835151,,,2749765.91,728.2707604839,,,,,0.0,,81601252.91,0.9813237508,10350887.26,-33.5948295764,,,,,,,71250365.65,9.2448669294,,,71250365.65,9.2448669294,,,51507360.03,23.7029249969,19743005.62,-16.2823309776,28842705.44,196.2375625273,,,,,0.0545,23.5827664399,0.0545,23.5827664399,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71250365.65,9.2448669294,51507360.03,23.7029249969,19743005.62,-16.2823309776,,,,,,,,,,,
600552.SH,600552,凯盛科技,10002622,通用,2025-03-31 00:00:00,一季报,2025一季报,058001001,2025-04-30 00:00:00,2026-04-30 00:00:00,CNY,1264741274.78,0.122770423,1264741274.78,0.122770423,,,,,,,,,,,1246299304.5,-2.7019318689,1040375521.96,-3.8585360581,,,,,76077333.09,1.0367235369,,,,,,,,,,,,,7569932.82,6.860817433,28858328.0,4.2164341988,69141273.3,2.5657026328,,,24276915.33,13.9996765219,27683624.0,6.2130636599,1662124.92,-47.8753057897,,,,,,,51741.54,276.5922866894,318674.07,-73.8567528986,,,,,,,1042.41,165.693830864,1698594.36,,89542.22,187.0445276641,12601171.19,-73.0832852436,,,0.0,,33202736.07,9.5201907405,1084977.1,123.2221390671,,,886690.23,439.5799883052,,,,,0.0,,33401022.94,9.0173401702,5008069.93,-20.2214118975,,,,,,,28392953.01,16.5517846189,,,28392953.01,16.5517846189,,,23847546.42,73.0138015251,4545406.59,-57.0263546054,11788842.4,138.347230175,,,,,0.0252,72.602739726,0.0252,72.602739726,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28392953.01,16.5517846189,23847546.42,73.0138015251,4545406.59,-57.0263546054,,,,,,,,,,,
600552.SH,600552,凯盛科技,10002622,通用,2024-12-31 00:00:00,年报,2024年报,058001001,2025-03-28 00:00:00,2026-03-31 00:00:00,CNY,4893821869.37,-2.3195188893,4893821869.37,-2.3195188893,,,,,,,,,,,4817901659.76,-3.5982325697,4063561546.51,-6.4991447806,,,,,292754786.03,33.5332872149,,,,,,,,,,,,,30430955.15,-20.7931621392,103210376.28,3.2034988092,249838297.47,5.763478636,,,78105698.32,35.0629436731,111639308.13,5.8523279036,12245875.68,-32.7044891053,,,,,,,296768.52,394.3013072725,3457464.42,-65.2120893487,,,,,,,4647566.82,-80.3812547407,-15393984.5,-222.8748606022,-16454717.59,-6.3748124635,187775962.53,4.9924261642,,,0.0,,240249269.81,17.4252063589,1977148.73,61.3322039677,,,1872758.1,-45.7950950051,,,,,0.0,,240353660.44,18.7704385589,45824216.73,-11.7055854003,,,,,,,194529443.71,29.2821477808,,,194529443.71,29.2821477808,,,140158342.12,30.7554933058,54371101.59,25.6329366093,-240426.83,99.5414954781,,,,,0.1484,30.7488986784,0.1484,30.7488986784,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,194529443.71,29.2821477808,140158342.12,30.7554933058,54371101.59,25.6329366093,,,,,,,,,-2074362.32,20.9481705962,标准无保留意见
600552.SH,600552,凯盛科技,10002622,通用,2024-09-30 00:00:00,三季报,2024三季报,058001001,2024-10-31 00:00:00,2025-10-31 00:00:00,CNY,3574274357.32,-5.463122712,3574274357.32,-5.463122712,,,,,,,,,,,3527492879.85,-5.6454169615,2906451789.05,-9.9366972497,,,,,240659673.93,46.8042775135,,,,,,,,,,,,,22138217.91,-19.2133156159,78921684.54,-1.9398985407,197563217.2,1.3962383655,,,81758297.22,82.6298923045,79812953.12,-3.5097953023,8744048.76,-34.5215923165,,,,,,,-29300.0,,2788553.39,-66.5776390003,,,,,,,3037124.42,-91.1186957403,,,1482638.35,170.7359023882,121831635.15,72.0004663927,,,0.0,,175892128.78,14.5487217276,1083559.67,69.6030488238,,,798118.15,-57.2931676781,,,,,0.0,,176177570.3,15.6610565431,18167163.34,16.9544238933,,,,,,,158010406.96,15.5141835377,,,158010406.96,15.5141835377,,,111837975.39,16.4149910794,46172431.57,13.3889801309,360415.620000005,-94.7356300904,,,,,0.1184,16.4208456244,0.1184,16.4208456244,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,158010406.96,15.5141835377,111837975.39,16.4149910794,46172431.57,13.3889801309,,,,,,,,,,,
600552.SH,600552,凯盛科技,10002622,通用,2024-06-30 00:00:00,中报,2024中报,058001001,2024-08-30 00:00:00,2025-08-30 00:00:00,CNY,2217013056.51,-9.6427224771,2217013056.51,-9.6427224771,,,,,,,,,,,2219853634.18,-7.991430987,1867226314.96,-10.1966120386,,,,,115668239.46,7.1705457046,,,,,,,,,,,,,14490974.24,-20.4522714103,53354284.71,5.3945869223,126755986.9,-5.3766233829,,,42357833.91,86.6487381915,52573079.61,-4.273430522,6660544.72,-32.8983257192,,,,,,,29147.49,-98.1478957903,2137563.26,-62.7295104835,,,,,,,22946.94,-99.9309460015,,,-2020113.77,19.401436239,83010952.13,71.6763223791,,,0.0,,80339918.38,-36.9062523835,800332.63,103.4618397239,,,331988.77,-79.138480591,,,,,0.0,,80808262.24,-35.9356906677,15587471.87,71.80527655,,,,,,,65220790.37,-44.2859293242,,,65220790.37,-44.2859293242,,,41637948.36,-47.5982673306,23582842.01,-37.2868521578,-29970319.99,-266.4633011174,,,,,0.0441,-47.5624256837,0.0441,-47.5624256837,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65220790.37,-44.2859293242,41637948.36,-47.5982673306,23582842.01,-37.2868521578,,,,,,,,,,,
600552.SH,600552,凯盛科技,10002622,通用,2024-03-31 00:00:00,一季报,2024一季报,058001001,2024-04-30 00:00:00,2025-04-30 00:00:00,CNY,1263190450.52,-0.48048271,1263190450.52,-0.48048271,,,,,,,,,,,1280908581.68,-0.1163998863,1082129894.12,-2.0955063909,,,,,75296714.33,60.9956619177,,,,,,,,,,,,,7083918.13,-17.4252753867,27690765.11,9.9128641241,67411689.8,-4.9720162276,,,21295600.19,-16.910103973,26064236.4,-11.6570045301,3188747.57,-17.1008931475,,,,,,,-29300.0,,1218953.67,-52.6455044708,,,,,,,-1586.77,-100.0065757551,,,31194.54,-53.5289817624,46815413.04,36.7622398057,,,0.0,,30316543.32,-36.6967242805,486052.64,55.0934660807,,,164329.71,334.9717306257,,,,,0.0,,30638266.25,-36.3910137812,6277461.22,1.5205687037,,,,,,,24360805.03,-41.97477815,,,24360805.03,-41.97477815,,,13783609.29,-54.8307156141,10577195.74,-7.7651943182,-30742357.0,-78.9466261709,,,,,0.0146,-54.7987616099,0.0146,-54.7987616099,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24360805.03,-41.97477815,13783609.29,-54.8307156141,10577195.74,-7.7651943182,,,,,,,,,,,
600552.SH,600552,凯盛科技,10002622,通用,2023-12-31 00:00:00,年报,2023年报,058001001,2024-04-19 00:00:00,2025-03-28 00:00:00,CNY,5010030472.54,6.1702900486,5010030472.54,6.1702900486,,,,,,,,,,,4997731668.4,8.1711188456,4346015378.12,11.068957951,,,,,219237309.39,-6.7719426354,,,,,,,,,,,,,38419606.15,-18.1017018338,100006663.99,2.2699106324,236223600.71,11.1283579691,,,57829110.04,-49.6620063638,105467031.61,-22.4275172859,18197165.78,211.1864299943,,,,,,,60037.98,213.9377246,9938695.24,725.706057184,,,,,,,23689419.27,-43.3935919567,-4767786.65,84.9316777354,-15468621.95,-128.1630503222,178847150.59,60.2263804225,,,0.0,,204597698.62,-25.2660159365,1225513.99,-69.2884140355,,,3454960.58,60.7600081005,,,,,0.0,,202368252.03,-26.5742049629,51899338.07,2.0732111039,,,,,,,150468913.96,-33.0547084417,,,150468913.96,-33.0547084417,,,107191169.24,-24.3730937485,43277744.72,-47.8752093837,-52437177.5,-2427.2884797209,,,,,0.1135,-37.6373626374,0.1135,-37.6373626374,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150468913.96,-33.0547084417,107191169.24,-24.3730937485,43277744.72,-47.8752093837,,,,,,,,,-2624053.53,-65.2013819166,标准无保留意见
