SECUCODE,SECURITY_CODE,SECURITY_NAME_ABBR,ORG_CODE,ORG_TYPE,REPORT_DATE,REPORT_TYPE,REPORT_DATE_NAME,SECURITY_TYPE_CODE,NOTICE_DATE,UPDATE_DATE,CURRENCY,SALES_SERVICES,DEPOSIT_INTERBANK_ADD,LOAN_PBC_ADD,OFI_BF_ADD,RECEIVE_ORIGIC_PREMIUM,RECEIVE_REINSURE_NET,INSURED_INVEST_ADD,DISPOSAL_TFA_ADD,RECEIVE_INTEREST_COMMISSION,BORROW_FUND_ADD,LOAN_ADVANCE_REDUCE,REPO_BUSINESS_ADD,RECEIVE_TAX_REFUND,RECEIVE_OTHER_OPERATE,OPERATE_INFLOW_OTHER,OPERATE_INFLOW_BALANCE,TOTAL_OPERATE_INFLOW,BUY_SERVICES,LOAN_ADVANCE_ADD,PBC_INTERBANK_ADD,PAY_ORIGIC_COMPENSATE,PAY_INTEREST_COMMISSION,PAY_POLICY_BONUS,PAY_STAFF_CASH,PAY_ALL_TAX,PAY_OTHER_OPERATE,OPERATE_OUTFLOW_OTHER,OPERATE_OUTFLOW_BALANCE,TOTAL_OPERATE_OUTFLOW,OPERATE_NETCASH_OTHER,OPERATE_NETCASH_BALANCE,NETCASH_OPERATE,WITHDRAW_INVEST,RECEIVE_INVEST_INCOME,DISPOSAL_LONG_ASSET,DISPOSAL_SUBSIDIARY_OTHER,REDUCE_PLEDGE_TIMEDEPOSITS,RECEIVE_OTHER_INVEST,INVEST_INFLOW_OTHER,INVEST_INFLOW_BALANCE,TOTAL_INVEST_INFLOW,CONSTRUCT_LONG_ASSET,INVEST_PAY_CASH,PLEDGE_LOAN_ADD,OBTAIN_SUBSIDIARY_OTHER,ADD_PLEDGE_TIMEDEPOSITS,PAY_OTHER_INVEST,INVEST_OUTFLOW_OTHER,INVEST_OUTFLOW_BALANCE,TOTAL_INVEST_OUTFLOW,INVEST_NETCASH_OTHER,INVEST_NETCASH_BALANCE,NETCASH_INVEST,ACCEPT_INVEST_CASH,SUBSIDIARY_ACCEPT_INVEST,RECEIVE_LOAN_CASH,ISSUE_BOND,RECEIVE_OTHER_FINANCE,FINANCE_INFLOW_OTHER,FINANCE_INFLOW_BALANCE,TOTAL_FINANCE_INFLOW,PAY_DEBT_CASH,ASSIGN_DIVIDEND_PORFIT,SUBSIDIARY_PAY_DIVIDEND,BUY_SUBSIDIARY_EQUITY,PAY_OTHER_FINANCE,SUBSIDIARY_REDUCE_CASH,FINANCE_OUTFLOW_OTHER,FINANCE_OUTFLOW_BALANCE,TOTAL_FINANCE_OUTFLOW,FINANCE_NETCASH_OTHER,FINANCE_NETCASH_BALANCE,NETCASH_FINANCE,RATE_CHANGE_EFFECT,CCE_ADD_OTHER,CCE_ADD_BALANCE,CCE_ADD,BEGIN_CCE,END_CCE_OTHER,END_CCE_BALANCE,END_CCE,NETPROFIT,ASSET_IMPAIRMENT,FA_IR_DEPR,OILGAS_BIOLOGY_DEPR,IR_DEPR,IA_AMORTIZE,LPE_AMORTIZE,DEFER_INCOME_AMORTIZE,PREPAID_EXPENSE_REDUCE,ACCRUED_EXPENSE_ADD,DISPOSAL_LONGASSET_LOSS,FA_SCRAP_LOSS,FAIRVALUE_CHANGE_LOSS,FINANCE_EXPENSE,INVEST_LOSS,DEFER_TAX,DT_ASSET_REDUCE,DT_LIAB_ADD,PREDICT_LIAB_ADD,INVENTORY_REDUCE,OPERATE_RECE_REDUCE,OPERATE_PAYABLE_ADD,OTHER,OPERATE_NETCASH_OTHERNOTE,OPERATE_NETCASH_BALANCENOTE,NETCASH_OPERATENOTE,DEBT_TRANSFER_CAPITAL,CONVERT_BOND_1YEAR,FINLEASE_OBTAIN_FA,UNINVOLVE_INVESTFIN_OTHER,END_CASH,BEGIN_CASH,END_CASH_EQUIVALENTS,BEGIN_CASH_EQUIVALENTS,CCE_ADD_OTHERNOTE,CCE_ADD_BALANCENOTE,CCE_ADDNOTE,SALES_SERVICES_YOY,DEPOSIT_INTERBANK_ADD_YOY,LOAN_PBC_ADD_YOY,OFI_BF_ADD_YOY,RECEIVE_ORIGIC_PREMIUM_YOY,RECEIVE_REINSURE_NET_YOY,INSURED_INVEST_ADD_YOY,DISPOSAL_TFA_ADD_YOY,RECEIVE_INTEREST_COMMISSION_YOY,BORROW_FUND_ADD_YOY,LOAN_ADVANCE_REDUCE_YOY,REPO_BUSINESS_ADD_YOY,RECEIVE_TAX_REFUND_YOY,RECEIVE_OTHER_OPERATE_YOY,OPERATE_INFLOW_OTHER_YOY,OPERATE_INFLOW_BALANCE_YOY,TOTAL_OPERATE_INFLOW_YOY,BUY_SERVICES_YOY,LOAN_ADVANCE_ADD_YOY,PBC_INTERBANK_ADD_YOY,PAY_ORIGIC_COMPENSATE_YOY,PAY_INTEREST_COMMISSION_YOY,PAY_POLICY_BONUS_YOY,PAY_STAFF_CASH_YOY,PAY_ALL_TAX_YOY,PAY_OTHER_OPERATE_YOY,OPERATE_OUTFLOW_OTHER_YOY,OPERATE_OUTFLOW_BALANCE_YOY,TOTAL_OPERATE_OUTFLOW_YOY,OPERATE_NETCASH_OTHER_YOY,OPERATE_NETCASH_BALANCE_YOY,NETCASH_OPERATE_YOY,WITHDRAW_INVEST_YOY,RECEIVE_INVEST_INCOME_YOY,DISPOSAL_LONG_ASSET_YOY,DISPOSAL_SUBSIDIARY_OTHER_YOY,REDUCE_PLEDGE_TIMEDEPOSITS_YOY,RECEIVE_OTHER_INVEST_YOY,INVEST_INFLOW_OTHER_YOY,INVEST_INFLOW_BALANCE_YOY,TOTAL_INVEST_INFLOW_YOY,CONSTRUCT_LONG_ASSET_YOY,INVEST_PAY_CASH_YOY,PLEDGE_LOAN_ADD_YOY,OBTAIN_SUBSIDIARY_OTHER_YOY,ADD_PLEDGE_TIMEDEPOSITS_YOY,PAY_OTHER_INVEST_YOY,INVEST_OUTFLOW_OTHER_YOY,INVEST_OUTFLOW_BALANCE_YOY,TOTAL_INVEST_OUTFLOW_YOY,INVEST_NETCASH_OTHER_YOY,INVEST_NETCASH_BALANCE_YOY,NETCASH_INVEST_YOY,ACCEPT_INVEST_CASH_YOY,SUBSIDIARY_ACCEPT_INVEST_YOY,RECEIVE_LOAN_CASH_YOY,ISSUE_BOND_YOY,RECEIVE_OTHER_FINANCE_YOY,FINANCE_INFLOW_OTHER_YOY,FINANCE_INFLOW_BALANCE_YOY,TOTAL_FINANCE_INFLOW_YOY,PAY_DEBT_CASH_YOY,ASSIGN_DIVIDEND_PORFIT_YOY,SUBSIDIARY_PAY_DIVIDEND_YOY,BUY_SUBSIDIARY_EQUITY_YOY,PAY_OTHER_FINANCE_YOY,SUBSIDIARY_REDUCE_CASH_YOY,FINANCE_OUTFLOW_OTHER_YOY,FINANCE_OUTFLOW_BALANCE_YOY,TOTAL_FINANCE_OUTFLOW_YOY,FINANCE_NETCASH_OTHER_YOY,FINANCE_NETCASH_BALANCE_YOY,NETCASH_FINANCE_YOY,RATE_CHANGE_EFFECT_YOY,CCE_ADD_OTHER_YOY,CCE_ADD_BALANCE_YOY,CCE_ADD_YOY,BEGIN_CCE_YOY,END_CCE_OTHER_YOY,END_CCE_BALANCE_YOY,END_CCE_YOY,NETPROFIT_YOY,ASSET_IMPAIRMENT_YOY,FA_IR_DEPR_YOY,OILGAS_BIOLOGY_DEPR_YOY,IR_DEPR_YOY,IA_AMORTIZE_YOY,LPE_AMORTIZE_YOY,DEFER_INCOME_AMORTIZE_YOY,PREPAID_EXPENSE_REDUCE_YOY,ACCRUED_EXPENSE_ADD_YOY,DISPOSAL_LONGASSET_LOSS_YOY,FA_SCRAP_LOSS_YOY,FAIRVALUE_CHANGE_LOSS_YOY,FINANCE_EXPENSE_YOY,INVEST_LOSS_YOY,DEFER_TAX_YOY,DT_ASSET_REDUCE_YOY,DT_LIAB_ADD_YOY,PREDICT_LIAB_ADD_YOY,INVENTORY_REDUCE_YOY,OPERATE_RECE_REDUCE_YOY,OPERATE_PAYABLE_ADD_YOY,OTHER_YOY,OPERATE_NETCASH_OTHERNOTE_YOY,OPERATE_NETCASH_BALANCENOTE_YOY,NETCASH_OPERATENOTE_YOY,DEBT_TRANSFER_CAPITAL_YOY,CONVERT_BOND_1YEAR_YOY,FINLEASE_OBTAIN_FA_YOY,UNINVOLVE_INVESTFIN_OTHER_YOY,END_CASH_YOY,BEGIN_CASH_YOY,END_CASH_EQUIVALENTS_YOY,BEGIN_CASH_EQUIVALENTS_YOY,CCE_ADD_OTHERNOTE_YOY,CCE_ADD_BALANCENOTE_YOY,CCE_ADDNOTE_YOY,OPINION_TYPE,OSOPINION_TYPE,MINORITY_INTEREST,MINORITY_INTEREST_YOY,USERIGHT_ASSET_AMORTIZE,USERIGHT_ASSET_AMORTIZE_YOY
000912.SZ,000912,泸天化,10005780,通用,2026-03-31 00:00:00,一季报,2026一季报,058001001,2026-04-30 00:00:00,2026-04-30 00:00:00,CNY,1161365416.54,,,,,,,,,,,,,25401978.58,,0.0,1186767395.12,810975379.89,,,,,,129910393.71,16978347.72,19053897.89,,0.0,976918019.21,,0.0,209849375.91,150000000.0,807272.83,133762.93,,,,,0.0,150941035.76,96053368.23,100000000.0,,,,150000000.0,,0.0,346053368.23,,0.0,-195112332.47,,,163589971.38,,413736736.33,,0.0,577326707.71,54490009.0,3584562.03,,,614657426.37,,,0.0,672731997.4,,0.0,-95405289.69,,,0.0,-80668246.25,806181700.9,,0.0,725513454.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-32.7193917406,,,,,,,,,,,,,-49.3193847197,,,-33.1877991358,-46.609529551,,,,,,-15.0196501242,16.5795106189,-9.2464577263,,,-42.7826788748,,,204.6069524354,-80.7692307692,-84.7472394876,-86.3418151771,,,,,,-80.8029490207,99.7953335716,-66.6666666667,,,,,,,-0.5810553348,,,-144.5262580954,,,,,59.1295139731,,,122.0487337346,-51.4146270574,-2.9154896169,,,76.7370455226,,,,45.1022783156,,,53.1468208167,,,,-126.5826610443,19.1103588248,,,-25.9905060933,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
000912.SZ,000912,泸天化,10005780,通用,2025-12-31 00:00:00,年报,2025年报,058001001,2026-03-16 00:00:00,2026-03-16 00:00:00,CNY,4387726305.58,,,,,,,,,,,,20634411.65,119914559.29,,0.0,4528275276.52,3543398443.35,,,,,,502235497.25,116975222.23,134117224.49,,0.0,4296726387.32,,0.0,231548889.2,1938285837.86,21918030.47,130990788.47,,,,,0.0,2091194656.8,587762068.8,980000000.0,,405527767.15,,,,0.0,1973289835.95,,0.0,117904820.85,,,15749376.63,,1428921443.75,,0.0,1444670820.38,576796676.8,22264572.51,,,1065873175.12,,,0.0,1664934424.43,,0.0,-220263604.05,155668.24,,0.0,129345774.24,676835926.66,,0.0,806181700.9,31526160.96,16572390.43,278386221.81,278386221.81,,16144388.34,10020363.15,,,,-26410001.13,591744.37,,18791547.43,-10796419.8,7318658.65,24032289.01,-16713630.36,,-15786162.95,157884478.5,-272408540.59,,,0.0,231548889.2,,,,,806181700.9,676835926.66,,,,,129345774.24,-25.47426838,,,,,,,,,,,,353.0763575054,-30.6157565988,,,-25.336518266,-25.9530240849,,,,,,-11.967515626,-42.2696722439,-19.5912186864,,,-24.9515215765,,,-31.8262573633,-37.6097789998,-53.5301069266,28772.5657106457,,,,,,-38.7541877847,65.7480356036,-68.1300813008,,,,,,,-43.614036162,,,238.4135961385,,,-84.25062337,,31.3296341787,,,21.6009993731,26.4482334216,-37.6468900319,,,-32.4589551237,,,,-19.5672748243,,,75.0248066154,1477.7916748174,,,120.6142729025,-48.1070761234,,,19.1103588248,49.7004794604,-39.7874031438,-9.2915448676,-9.2915448676,,168.7455744254,17.7855863239,,,,-94322.0933030391,237.1283704754,,-43.0758221598,68.4743631855,2181.0208684964,409.9105761447,-280.5306964673,,24.141349719,-25.7652473332,-6.0993669785,,,,-31.8262573633,,,,,19.1103588248,-48.1070761234,,,,,120.6142729025,标准无保留意见,,,,19714060.03,-44.1340850297
000912.SZ,000912,泸天化,10005780,通用,2025-09-30 00:00:00,三季报,2025三季报,058001001,2025-10-27 00:00:00,2025-10-27 00:00:00,CNY,3361324213.95,,,,,,,,,,,,,85353176.29,,0.0,3446677390.24,2899545447.51,,,,,,393991266.65,73472142.77,70856107.49,,0.0,3437864964.42,,0.0,8812425.82,1648285837.86,11493743.78,94379268.08,,,,,0.0,1754158849.72,330856601.67,630000000.0,,405527767.15,,,,0.0,1366384368.82,,0.0,387774480.9,,,2932210.72,,1167061259.72,,0.0,1169993470.44,576796676.8,8528371.3,,,1071865250.6,,,0.0,1657190298.7,,0.0,-487196828.26,796.68,,0.0,-90609124.86,676835926.66,,0.0,586226801.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-28.1979502183,,,,,,,,,,,,,-51.4676376207,,,-29.0419686118,-27.3742901171,,,,,,-8.6670520676,-51.6681256149,-37.1622554484,,,-26.6761791797,,,-94.7775290811,-22.5265811581,-68.1977573229,106625.0029740298,,,,,,-26.0796221594,35.1476670469,-74.3380855397,,,,,,,-50.6686817677,,,197.7320933884,,,-97.06778928,,-26.8086384417,,,-30.9548606093,50.7766884815,-64.9416152112,,,-29.8977488111,,,,-14.3959820646,,,-101.8674207587,6797.6623376623,,,80.6958875687,-48.1070761234,,,-29.7861321629,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
000912.SZ,000912,泸天化,10005780,通用,2025-06-30 00:00:00,中报,2025中报,058001001,2025-08-27 00:00:00,2025-08-27 00:00:00,CNY,2479789975.57,,,,,,,,,,,,,63332386.11,,0.0,2543122361.68,2150169355.03,,,,,,285455295.15,58280476.6,44345387.76,,0.0,2538250514.54,,0.0,4871847.14,1280000000.0,8077418.7,1074092.0,,,,,0.0,1289151510.7,164483889.64,580000000.0,,,,,,0.0,744483889.64,,0.0,544667621.06,,,,,941971996.89,,0.0,941971996.89,432231816.14,6088771.79,,,740568003.39,,,0.0,1178888591.32,,0.0,-236916594.43,-4027.43,,0.0,312618846.34,601259114.29,,0.0,913877960.63,45771675.4,3969018.29,136906382.84,136906382.84,,4681044.33,4957368.15,,,,-356994.08,-393974.32,,11397843.4,-8746617.74,2747496.54,7409725.54,-4662229.0,,-53316685.78,121826276.07,-281494223.74,,,0.0,4871847.14,,,,,913877960.63,601259114.29,,,,,312618846.34,-11.202515024,,,,,,,,,,,,,-25.0032740379,,,-11.6075889065,3.3899347055,,,,,,-6.7432167369,-48.1048045824,-14.0054864815,,,-0.446623487,,,-98.5121606991,-7.2463768116,-65.463102841,1161.1009054962,,,,,,-8.1456114961,-1.0526639457,-63.2911392405,,,,,,,-57.3663102095,,,258.9060389814,,,,,-17.3408990843,,,-24.0091789939,404.7891482526,-56.2871782411,,,-48.541119398,,,,-23.3841382497,,,20.7938468481,-20137250.0,,,199.4239132199,-50.7481777565,,,0.8299921823,-65.7898462813,156.4390101133,4.4637170503,4.4637170503,,68.1325861119,37.8263914452,,,,-251.205683527,-410.99321367,,183.0998690212,46.5555551992,-41.9137722214,-24.3711865578,7.9967138009,,-154.1416884199,188.2022541189,-432.9259750909,,,,-98.5121606991,,,,,0.8299921823,-50.7481777565,,,,,199.4239132199,,,,,16923237.78,-2.4153516621
000912.SZ,000912,泸天化,10005780,通用,2025-03-31 00:00:00,一季报,2025一季报,058001001,2025-04-30 00:00:00,2026-04-30 00:00:00,CNY,1726151779.22,,,,,,,,,,,,,50121685.46,,0.0,1776273464.68,1518951552.72,,,,,,152871097.73,14563749.35,20995211.22,,0.0,1707381611.02,,0.0,68891853.66,780000000.0,5292634.27,979360.96,,,,,0.0,786271995.23,48075881.71,300000000.0,,,,,,0.0,348075881.71,,0.0,438196113.52,,,,,260000000.0,,0.0,260000000.0,112153114.61,3692207.97,,,347780752.22,,,0.0,463626074.8,,0.0,-203626074.8,,,0.0,303461892.38,676835926.66,,0.0,980297819.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.3447888279,,,,,,,,,,,,,-29.9401757458,,,28.1808798357,37.3390423548,,,,,,-17.9385658802,-62.0962098186,-51.1131516634,,,24.2957149894,,,468.8552543253,41.8181818182,-41.53144986,,,,,,,40.6437770063,-64.5891545207,-40.0,,,,,,,-45.2509426161,,,671.2084100006,,,,,1621.8543046358,,,1621.8543046358,30.979888763,-26.0108301138,,,-17.8625336231,,,,-9.8055442987,,,59.1874021123,,,,153.8499147666,-44.557343156,,,49.1508027464,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
000912.SZ,000912,泸天化,10005780,通用,2024-12-31 00:00:00,年报,2024年报,058001001,2025-04-26 00:00:00,2026-03-16 00:00:00,CNY,5887532011.03,,,,,,,,,,,,4554290.09,172826788.06,,0.0,6064913089.18,4785338495.68,,,,,,570511556.98,202623520.04,166794250.95,,0.0,5725267823.65,,0.0,339645265.53,3106714172.17,47166087.59,453686.0,,,260094863.59,,0.0,3414428809.35,354611785.69,3075000000.0,,,,70000000.0,,0.0,3499611785.69,,0.0,-85182976.34,,,100000000.0,,1088041897.54,,0.0,1188041897.54,456152420.0,35707236.61,,,1578111764.59,,,0.0,2069971421.2,,0.0,-881929523.66,9866.21,,0.0,-627457368.26,1304293294.92,,0.0,676835926.66,21059492.31,27523128.54,306902175.11,306902175.11,,6007313.19,8507291.48,,,,-27970.15,175524.94,,33011539.46,-34246476.49,320850.14,4713039.92,-4392189.78,,-20809970.77,212682702.95,-256748506.94,,,0.0,339645265.53,,,,,676835926.66,1304293294.92,,,,,-627457368.26,-9.0196188086,,,,,,,,,,,,,1.4981218084,,,-8.6813893691,0.1616069127,,,,,,-1.3891382899,14.3018155613,59.6818500577,,,1.5498204406,,,-66.1571634822,47.2376384915,31.241220138,-99.0627317521,,,,,,54.4191372789,-5.9660562126,21.5087895884,,,,,,,20.3529122911,,,87.7724503025,,,,,-46.9179724633,,,-42.2272006493,45.4812376763,-29.7049194487,,,-23.5508412518,,,,-14.7671151733,,,-136.9485290522,15873.3173461231,,,-861.5426036881,1.4192776501,,,-44.557343156,-85.6135225794,-83.5527992866,15.9115947184,15.9115947184,,83.320641627,35.8110813588,,,,99.8807773564,-95.8277354986,,-6.2628496733,12.0069362657,-20.8232063293,-8.8144085,7.7927926369,,-335.9708319367,214.0422138174,-144.1833328927,,,,-66.1571634822,,,,,-44.557343156,1.4192776501,,,,,-861.5426036881,标准无保留意见,,,,35288171.76,1.7412826792
000912.SZ,000912,泸天化,10005780,通用,2024-09-30 00:00:00,三季报,2024三季报,058001001,2024-10-26 00:00:00,2025-10-27 00:00:00,CNY,4681376401.05,,,,,,,,,,,,101429.5,175868579.45,,0.0,4857346410.0,3992450403.84,,,,,,431379119.55,152015918.49,112760424.48,,0.0,4688605866.36,,0.0,168740543.64,2127550148.81,36141299.52,88432.2,,,209258381.67,,0.0,2373038262.2,244811182.39,2455000000.0,,,,70000000.0,,0.0,2769811182.39,,0.0,-396772920.19,,,100000000.0,,1594534156.59,,0.0,1694534156.59,382550301.78,24326195.72,,,1529002610.36,,,0.0,1935879107.86,,0.0,-241344951.27,11.55,,0.0,-469377316.27,1304293294.92,,0.0,834915978.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-10.8376680396,,,,,,,,,,,,,18.7368973338,,,-10.0243672275,-7.0079726537,,,,,,-4.5851659759,14.599283911,145.7673611277,,,-4.7798794899,,,-64.4418172866,25.8905413497,-1.9457301449,-99.81081862,,,,,,32.5432858422,1.6459704864,14.1860465116,,,,,,,15.8506287879,,,33.9217885766,,,,,-22.6149624589,,,-18.0270362617,22.007225954,-37.2626000302,,,-9.1826457126,,,,-4.9139647751,,,-871.9836422946,-88.28125,,,-395.9149233892,1.4192776501,,,-29.9209709609,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
000912.SZ,000912,泸天化,10005780,通用,2024-06-30 00:00:00,中报,2024中报,058001001,2024-08-27 00:00:00,2025-08-27 00:00:00,CNY,2792635372.77,,,,,,,,,,,,,84446867.91,,0.0,2877082240.68,2079669903.22,,,,,,306096012.71,112304185.64,51567694.2,,0.0,2549637795.77,,0.0,327444444.91,1380000000.0,23387794.98,85170.98,,,,,0.0,1403472965.96,166233772.63,1580000000.0,,,,,,0.0,1746233772.63,,0.0,-342760806.67,,,100000000.0,,1139586550.61,,0.0,1239586550.61,85626210.0,13929029.39,,,1439145186.85,,,0.0,1538700426.24,,0.0,-299113875.63,0.02,,0.0,-314430237.37,1220785520.01,,0.0,906355282.64,133795585.3,1547743.57,131056396.14,131056396.14,,2784138.66,3596820.68,,,,-101648.15,126682.61,,4026085.72,-16365812.71,4730030.93,9797490.14,-5067459.21,,98476215.53,-138121499.6,84551595.49,,,0.0,327444444.91,,,,,906355282.64,1220785520.01,,,,,-314430237.37,-25.6537354173,,,,,,,,,,,,,-28.7803847487,,,-25.7494131144,-32.6401175471,,,,,,-6.9315563517,5.6203616812,19.371323972,,,-28.497901459,,,5.9672653713,36.6336633663,27.0072469304,-99.8175543339,,,,,,28.5370885372,56.5733417572,12.8571428571,,,,,,,15.9386974572,,,17.2651279699,,,,,-41.8924362416,,,-37.0075646979,4.7112806849,-56.4304345494,,,-13.7443303045,,,,-13.6632380719,,,-261.1376789573,-99.9797077922,,,-491.3575870057,-5.0741224482,,,-33.6676143117,-10.8275484582,210.4668974637,-3.3691716355,-3.3691716355,,94.2115331211,11.5448016788,,,,99.5702956325,266.467603375,,-24.4432808198,-521.7289321553,-37.6316575069,1.0281316686,-139.7368756499,,-46.4873602388,2.6947943326,425.2218440291,,,,5.9672653713,,,,,-33.6676143117,-5.0741224482,,,,,-491.3575870057,,,,,17342110.74,3.46e-07
000912.SZ,000912,泸天化,10005780,通用,2024-03-31 00:00:00,一季报,2024一季报,058001001,2024-04-30 00:00:00,2025-04-30 00:00:00,CNY,1314214134.13,,,,,,,,,,,,,71541266.33,,0.0,1385755400.46,1105986707.55,,,,,,186288601.18,38422936.81,42946542.75,,0.0,1373644788.29,,0.0,12110612.17,550000000.0,9052104.52,,,,,,0.0,559052104.52,135765980.9,500000000.0,,,,,,0.0,635765980.9,,0.0,-76713876.38,,,,,15100000.0,,0.0,15100000.0,85626210.0,4990200.56,,,423413050.78,,,0.0,514029461.34,,0.0,-498929461.34,0.02,,0.0,-563532725.53,1220785520.01,,0.0,657252794.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-42.6927762224,,,,,,,,,,,,,70.3281489293,,,-40.6599978451,-45.8710051723,,,,,,-12.6044017001,-29.1089787573,142.155685989,,,-41.0030872009,,,74.3287310581,-21.4285714286,-39.0420658533,,,,,,,-27.8095147393,117.6947715789,-35.8974358974,,,,,,,-24.5260949598,,,-12.8928121157,,,,,-97.419527885,,,-97.4485955583,4.7112806849,-26.8911451276,,,-53.0228171533,,,,-48.0734122733,,,-25.3324484628,,,,-22.7497653975,-5.0741224482,,,-20.5208669987,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
000912.SZ,000912,泸天化,10005780,通用,2023-12-31 00:00:00,年报,2023年报,058001001,2024-04-25 00:00:00,2025-04-26 00:00:00,CNY,6471210533.45,,,,,,,,,,,,,170275848.44,,0.0,6641486381.89,4777617535.48,,,,,,578548394.25,177270605.06,104454107.27,,0.0,5637890642.06,,0.0,1003595739.83,2110000000.0,35938470.81,48405139.19,16799950.0,,,,0.0,2211143560.0,377110404.4,2530681122.26,,,,,,0.0,2907791526.66,,0.0,-696647966.66,6666666.66,6666666.66,,,2049736884.65,,0.0,2056403551.31,313547250.0,50796209.82,,,2064263087.3,,,0.0,2428606547.12,,0.0,-372202995.81,-62.55,,0.0,-65255285.19,1286040805.2,,0.0,1220785520.01,146383938.85,167342327.85,264772627.67,264772627.67,,3276943.14,6264062.84,,,,-23460434.32,4206946.61,,35217135.73,-38919518.24,405232.55,5168623.51,-4763390.96,,8818874.18,-186494716.15,581098097.7,,,0.0,1003595739.83,,,,,1220785520.01,1286040805.2,,,,,-65255285.19,-18.774733195,,,,,,,,,,,,,93.2126002083,,,-18.5445567256,-25.1721741671,,,,,,12.908593882,-31.1284824604,-1.9880410197,,,-22.3557697892,,,12.468323293,22.2288518019,49.8045973481,742.6242072164,,,,,,25.9189927565,125.6026340036,27.5223543593,,,,,,,35.1419692259,,,-76.0758867687,,,,,1.4721230025,,,-7.9368422476,42.8279176408,-34.9274654816,,,5.5633428709,,,,7.7913628745,,,-1821.1014913207,-122.9524438573,,,-113.6714665612,59.0196505056,,,-5.0741224482,-60.0639053477,132.2773517293,-1.7016227131,-1.7016227131,,-24.0917667844,-11.5355391129,,,,-244.1903204139,572.7389612563,,-10.1044424499,-145.3249307822,-98.912364173,-86.1275208376,,,110.0160001519,-333.3999834567,115.878235538,,,,12.468323293,,,,,-5.0741224482,59.0196505056,,,,,-113.6714665612,标准无保留意见,,,,34684221.42,2.6141366066
