SECUCODE,SECURITY_CODE,SECURITY_NAME_ABBR,ORG_CODE,ORG_TYPE,REPORT_DATE,REPORT_TYPE,REPORT_DATE_NAME,SECURITY_TYPE_CODE,NOTICE_DATE,UPDATE_DATE,CURRENCY,TOTAL_OPERATE_INCOME,TOTAL_OPERATE_INCOME_YOY,OPERATE_INCOME,OPERATE_INCOME_YOY,INTEREST_INCOME,INTEREST_INCOME_YOY,EARNED_PREMIUM,EARNED_PREMIUM_YOY,FEE_COMMISSION_INCOME,FEE_COMMISSION_INCOME_YOY,OTHER_BUSINESS_INCOME,OTHER_BUSINESS_INCOME_YOY,TOI_OTHER,TOI_OTHER_YOY,TOTAL_OPERATE_COST,TOTAL_OPERATE_COST_YOY,OPERATE_COST,OPERATE_COST_YOY,INTEREST_EXPENSE,INTEREST_EXPENSE_YOY,FEE_COMMISSION_EXPENSE,FEE_COMMISSION_EXPENSE_YOY,RESEARCH_EXPENSE,RESEARCH_EXPENSE_YOY,SURRENDER_VALUE,SURRENDER_VALUE_YOY,NET_COMPENSATE_EXPENSE,NET_COMPENSATE_EXPENSE_YOY,NET_CONTRACT_RESERVE,NET_CONTRACT_RESERVE_YOY,POLICY_BONUS_EXPENSE,POLICY_BONUS_EXPENSE_YOY,REINSURE_EXPENSE,REINSURE_EXPENSE_YOY,OTHER_BUSINESS_COST,OTHER_BUSINESS_COST_YOY,OPERATE_TAX_ADD,OPERATE_TAX_ADD_YOY,SALE_EXPENSE,SALE_EXPENSE_YOY,MANAGE_EXPENSE,MANAGE_EXPENSE_YOY,ME_RESEARCH_EXPENSE,ME_RESEARCH_EXPENSE_YOY,FINANCE_EXPENSE,FINANCE_EXPENSE_YOY,FE_INTEREST_EXPENSE,FE_INTEREST_EXPENSE_YOY,FE_INTEREST_INCOME,FE_INTEREST_INCOME_YOY,ASSET_IMPAIRMENT_LOSS,ASSET_IMPAIRMENT_LOSS_YOY,CREDIT_IMPAIRMENT_LOSS,CREDIT_IMPAIRMENT_LOSS_YOY,TOC_OTHER,TOC_OTHER_YOY,FAIRVALUE_CHANGE_INCOME,FAIRVALUE_CHANGE_INCOME_YOY,INVEST_INCOME,INVEST_INCOME_YOY,INVEST_JOINT_INCOME,INVEST_JOINT_INCOME_YOY,NET_EXPOSURE_INCOME,NET_EXPOSURE_INCOME_YOY,EXCHANGE_INCOME,EXCHANGE_INCOME_YOY,ASSET_DISPOSAL_INCOME,ASSET_DISPOSAL_INCOME_YOY,ASSET_IMPAIRMENT_INCOME,ASSET_IMPAIRMENT_INCOME_YOY,CREDIT_IMPAIRMENT_INCOME,CREDIT_IMPAIRMENT_INCOME_YOY,OTHER_INCOME,OTHER_INCOME_YOY,OPERATE_PROFIT_OTHER,OPERATE_PROFIT_OTHER_YOY,OPERATE_PROFIT_BALANCE,OPERATE_PROFIT_BALANCE_YOY,OPERATE_PROFIT,OPERATE_PROFIT_YOY,NONBUSINESS_INCOME,NONBUSINESS_INCOME_YOY,NONCURRENT_DISPOSAL_INCOME,NONCURRENT_DISPOSAL_INCOME_YOY,NONBUSINESS_EXPENSE,NONBUSINESS_EXPENSE_YOY,NONCURRENT_DISPOSAL_LOSS,NONCURRENT_DISPOSAL_LOSS_YOY,EFFECT_TP_OTHER,EFFECT_TP_OTHER_YOY,TOTAL_PROFIT_BALANCE,TOTAL_PROFIT_BALANCE_YOY,TOTAL_PROFIT,TOTAL_PROFIT_YOY,INCOME_TAX,INCOME_TAX_YOY,EFFECT_NETPROFIT_OTHER,EFFECT_NETPROFIT_OTHER_YOY,EFFECT_NETPROFIT_BALANCE,EFFECT_NETPROFIT_BALANCE_YOY,UNCONFIRM_INVEST_LOSS,UNCONFIRM_INVEST_LOSS_YOY,NETPROFIT,NETPROFIT_YOY,PRECOMBINE_PROFIT,PRECOMBINE_PROFIT_YOY,CONTINUED_NETPROFIT,CONTINUED_NETPROFIT_YOY,DISCONTINUED_NETPROFIT,DISCONTINUED_NETPROFIT_YOY,PARENT_NETPROFIT,PARENT_NETPROFIT_YOY,MINORITY_INTEREST,MINORITY_INTEREST_YOY,DEDUCT_PARENT_NETPROFIT,DEDUCT_PARENT_NETPROFIT_YOY,NETPROFIT_OTHER,NETPROFIT_OTHER_YOY,NETPROFIT_BALANCE,NETPROFIT_BALANCE_YOY,BASIC_EPS,BASIC_EPS_YOY,DILUTED_EPS,DILUTED_EPS_YOY,OTHER_COMPRE_INCOME,OTHER_COMPRE_INCOME_YOY,PARENT_OCI,PARENT_OCI_YOY,MINORITY_OCI,MINORITY_OCI_YOY,PARENT_OCI_OTHER,PARENT_OCI_OTHER_YOY,PARENT_OCI_BALANCE,PARENT_OCI_BALANCE_YOY,UNABLE_OCI,UNABLE_OCI_YOY,CREDITRISK_FAIRVALUE_CHANGE,CREDITRISK_FAIRVALUE_CHANGE_YOY,OTHERRIGHT_FAIRVALUE_CHANGE,OTHERRIGHT_FAIRVALUE_CHANGE_YOY,SETUP_PROFIT_CHANGE,SETUP_PROFIT_CHANGE_YOY,RIGHTLAW_UNABLE_OCI,RIGHTLAW_UNABLE_OCI_YOY,UNABLE_OCI_OTHER,UNABLE_OCI_OTHER_YOY,UNABLE_OCI_BALANCE,UNABLE_OCI_BALANCE_YOY,ABLE_OCI,ABLE_OCI_YOY,RIGHTLAW_ABLE_OCI,RIGHTLAW_ABLE_OCI_YOY,AFA_FAIRVALUE_CHANGE,AFA_FAIRVALUE_CHANGE_YOY,HMI_AFA,HMI_AFA_YOY,CASHFLOW_HEDGE_VALID,CASHFLOW_HEDGE_VALID_YOY,CREDITOR_FAIRVALUE_CHANGE,CREDITOR_FAIRVALUE_CHANGE_YOY,CREDITOR_IMPAIRMENT_RESERVE,CREDITOR_IMPAIRMENT_RESERVE_YOY,FINANCE_OCI_AMT,FINANCE_OCI_AMT_YOY,CONVERT_DIFF,CONVERT_DIFF_YOY,ABLE_OCI_OTHER,ABLE_OCI_OTHER_YOY,ABLE_OCI_BALANCE,ABLE_OCI_BALANCE_YOY,OCI_OTHER,OCI_OTHER_YOY,OCI_BALANCE,OCI_BALANCE_YOY,TOTAL_COMPRE_INCOME,TOTAL_COMPRE_INCOME_YOY,PARENT_TCI,PARENT_TCI_YOY,MINORITY_TCI,MINORITY_TCI_YOY,PRECOMBINE_TCI,PRECOMBINE_TCI_YOY,EFFECT_TCI_BALANCE,EFFECT_TCI_BALANCE_YOY,TCI_OTHER,TCI_OTHER_YOY,TCI_BALANCE,TCI_BALANCE_YOY,ACF_END_INCOME,ACF_END_INCOME_YOY,OPINION_TYPE
002092.SZ,002092,中泰化学,10097478,通用,2026-03-31 00:00:00,一季报,2026一季报,058001001,2026-04-25 00:00:00,2026-04-25 00:00:00,CNY,7277916983.07,7.5510145696,7277916983.07,7.5510145696,,,,,,,,,,,7488236571.7,10.3326922297,6185234473.72,14.848789756,,,,,44670707.83,-10.0991136294,,,,,,,,,,,,,157394846.59,-10.0684329166,526184094.13,-6.8434699709,270750168.83,-23.6179560568,,,304002280.6,18.1037864974,300201778.42,9.7589291931,21120801.42,-34.987446249,,,,,,,18283423.39,,-43331600.5,35.0362636109,-24979512.08,55.4988621046,,,,,10585385.67,516.8552208115,-9175813.31,86.215861383,16503173.88,273.6832555518,51287954.21,-28.1012016332,,,0.0,,-166167065.29,-85.168717728,23910580.78,724.0002845713,,,11113295.59,339.5514542005,,,,,0.0,,-153369780.1,-71.6222277957,32027843.51,-7.2183556841,,,,,,,-185397623.61,-49.6537968574,,,-185397623.61,-49.6537968574,,,-142617782.02,-58.8207809089,-42779841.59,-25.5041053733,-185582819.02,-75.8575959054,,,,,-0.0554,-58.7392550143,-0.0554,-58.7392550143,-10935784.1,-830.686471503,-10935784.1,-830.686471503,,,,,,,,,,,,,,,,,,,,,-10935784.1,-830.686471503,,,,,,,,,,,,,,,-10935784.1,-830.686471503,,,,,,,,,-196333407.71,-56.9921651506,-153553566.12,-68.7903398231,-42779841.59,-25.5041053733,,,,,,,,,,,
002092.SZ,002092,中泰化学,10097478,通用,2025-12-31 00:00:00,年报,2025年报,058001001,2026-03-26 00:00:00,2026-03-26 00:00:00,CNY,28695883790.05,-4.7387099992,28695883790.05,-4.7387099992,,,,,,,,,,,28599118916.69,-6.8983144928,22964967197.16,-8.77784786,,,,,531758058.25,40.9011042166,,,,,,,,,,,,,743063519.96,6.2820885269,2021322231.88,1.6042002541,1333948355.23,-8.0786751529,,,1004059554.21,-2.1622564727,1040414428.19,1.3412940148,95967455.52,98.2820829888,,,,,,,221325.96,,-231866625.28,21.6147405632,-212624398.86,29.2965801152,,,,,3828947.28,17.9259288881,-236658786.91,51.5157782604,10319426.28,-69.3130634611,241119818.0,-17.4895354413,,,0.0,,-116271021.31,88.9226315235,69962416.9,536.7090555577,,,73984919.58,-14.6925470295,,,,,0.0,,-120293523.99,89.31071978,198796269.36,25.9854800936,,,,,,,-319089793.35,75.1324819364,,,-319089793.35,75.1324819364,,,-288750432.86,70.4305308365,-30339360.49,90.1059843204,-410038490.08,61.3268716611,,,,,-0.1121,70.4299657083,-0.1121,70.4299657083,-14119788.72,-266.9897973904,-14955987.5,-288.0294352004,836198.78,66.7685514579,,,,,4605951.55,72.0339700969,,,4605951.55,72.0339700969,,,,,,,,,-19561939.05,-470.7217703598,-525892.15,92.5956191399,,,,,,,,,,,,,-19036046.9,-253.7749102452,,,,,,,,,-333209582.07,73.8598364473,-303706420.36,68.6435544657,-29503161.71,90.362920181,,,,,,,,,,,标准无保留意见
002092.SZ,002092,中泰化学,10097478,通用,2025-09-30 00:00:00,三季报,2025三季报,058001001,2025-10-24 00:00:00,2025-10-24 00:00:00,CNY,21245520041.34,-5.5465471193,21245520041.34,-5.5465471193,,,,,,,,,,,21316432058.04,-7.1581144298,17092126345.86,-8.9358673196,,,,,326477576.56,-3.0638505944,,,,,,,,,,,,,556111041.29,9.3513106458,1514049625.94,3.3775263936,1046770641.72,-2.5257925984,,,780896826.67,-3.2073049178,792600817.35,-2.8164117869,63217294.67,53.4897247013,,,,,,,389948.58,,-150057656.18,-17.6577459133,-129378002.72,21.2485304396,,,,,3937255.1,36.754086659,-51750472.22,-6.8976730536,-9854091.33,-124.9311884009,183071421.73,-24.0942454748,,,0.0,,-95175611.02,73.502044865,9384023.66,31.2221760466,,,37194421.43,86.9930029292,,,,,0.0,,-122986008.79,66.9321803568,130152784.95,139.8174528894,,,,,,,-253138793.74,40.604536259,,,-253138793.74,40.604536259,,,-179227449.96,48.5085868377,-73911343.78,5.3869780336,-219299109.23,47.6210639907,,,,,-0.0696,48.4826054774,-0.0696,48.4826054774,-7128494.76,49.0724699699,-7539951.35,47.3178104661,411456.59,30.6981644675,,,,,2265222.25,44.7995656056,,,2265222.25,44.7995656056,,,,,,,,,-9805173.6,38.2410779216,,,,,,,,,,,,,,,-9805173.6,-14.9558732371,,,,,,,,,-260267288.5,40.8738031945,-186767401.31,48.4615579024,-73499887.19,5.5329859739,,,,,,,,,,,
002092.SZ,002092,中泰化学,10097478,通用,2025-06-30 00:00:00,中报,2025中报,058001001,2025-08-16 00:00:00,2025-08-16 00:00:00,CNY,13955066911.57,-8.3199167701,13955066911.57,-8.3199167701,,,,,,,,,,,14069825735.67,-9.5691698296,11308019411.4,-12.9839604779,,,,,136642965.04,16.3478429474,,,,,,,,,,,,,366701830.08,11.6861713873,1042106956.99,11.939880102,677324290.03,2.6545334929,,,539030282.13,2.3225634601,542655357.72,3.5986598372,41538048.1,37.8744255618,,,,,,,,,-110841281.51,-20.790043197,-92674413.01,-0.9925742308,,,,,2747792.28,13.9049192866,-51228980.02,-106.5288683271,-8795850.86,-132.4992131046,133470363.06,-8.3720787824,,,0.0,,-149406781.15,46.3731518586,4360726.97,-15.5315037088,,,12865544.27,-22.0488237616,,,,,0.0,,-157911598.45,45.5376796402,75178134.49,101.556137816,,,,,,,-233089732.94,28.7721828506,,,-233089732.94,28.7721828506,,,-194128268.79,20.0018962559,-38961464.15,53.9349782303,-217117507.78,20.7911345728,,,,,-0.0754,19.957537155,-0.0754,19.957537155,-822822.66,-111.5649118969,-1234279.25,-118.1511504932,411456.59,30.6981644675,,,,,2265222.25,44.7995656056,,,2265222.25,44.7995656056,,,,,,,,,-3499501.5,-166.8402385665,,,,,,,,,,,,,,,-3499501.5,-166.8402385665,,,,,,,,,-233912555.6,26.9321355223,-195362548.04,17.1722588964,-38550007.56,54.2511699747,,,,,,,,,,,
002092.SZ,002092,中泰化学,10097478,通用,2025-03-31 00:00:00,一季报,2025一季报,058001001,2025-04-25 00:00:00,2026-04-25 00:00:00,CNY,6766944051.8,-13.0235901184,6766944051.8,-13.0235901184,,,,,,,,,,,6786960800.44,-15.3836618467,5385546061.79,-19.847043397,,,,,49688840.27,53.4615985015,,,,,,,,,,,,,175016239.23,4.2862597737,564838658.08,3.5574326032,354468347.34,18.7654644022,,,257402653.73,-0.1075385902,273510119.52,7.4789584393,32487266.23,86.0244960033,,,,,,,,,-66701213.49,-23.8402699953,-56132299.67,-4.2175814033,,,,,1716024.33,242.6183308271,-66567912.33,-69.952402455,-9501879.63,-151.833438864,71333534.6,-7.8197447292,,,0.0,,-89738195.16,62.2105736192,2901768.51,209.8179190858,,,2528326.43,-38.405742007,,,,,0.0,,-89364753.08,62.8632939182,34519590.32,429.1820323221,,,,,,,-123884343.4,49.8769572451,,,-123884343.4,49.8769572451,,,-89797935.26,49.2771293519,-34086408.14,51.3912924473,-105530169.49,43.1644278755,,,,,-0.0349,49.1994177584,-0.0349,49.1994177584,-1175023.43,-184.9071380116,-1175023.43,-184.9071380116,,,,,,,,,,,,,,,,,,,,,-1175023.43,-184.9071380116,,,,,,,,,,,,,,,-1175023.43,-184.9071380116,,,,,,,,,-125059366.83,49.116643753,-90972958.69,48.2085573199,-34086408.14,51.3912924473,,,,,,,,,,,
002092.SZ,002092,中泰化学,10097478,通用,2024-12-31 00:00:00,年报,2024年报,058001001,2025-03-15 00:00:00,2026-03-26 00:00:00,CNY,30123341590.08,-18.844490861,30123341590.08,-18.844490861,,,,,,,,,,,30718153770.12,-21.4723255094,25174770226.76,-25.0298727152,,,,,377398077.33,44.3925563281,,,,,,,,,,,,,699142753.27,40.0405672919,1989408141.42,-9.7169240895,1451184866.46,3.1188788176,,,1026249704.88,-12.0195450267,1026644112.16,-12.7011379877,48399459.03,-61.0744075435,,,,,,,,,-295803862.8,29.2544610703,-300727177.28,27.0823685919,,,,,3246908.73,-15.5379551337,-488115057.68,26.9193643532,33628075.8,113.3190371069,292229378.77,60.4518780163,,,0.0,,-1049626737.22,66.700835541,10988129.71,-60.8003995375,,,86727380.79,-10.4435922656,,,,,0.0,,-1125365988.3,65.0607410747,157793000.6,545.6055262586,,,,,,,-1283158988.9,59.7188869069,,,-1283158988.9,59.7188869069,,,-976515443.22,65.9161343416,-306643545.68,4.3153313627,-1060267187.3,63.6695657283,,,,,-0.3791,65.9174683089,-0.3791,65.9174683089,8455479.88,-63.3512718236,7954067.13,-63.7212950317,501412.75,-56.2770140513,,,,,2677350.03,-56.9581233934,,,2677350.03,-56.9581233934,,,,,,,,,5276717.1,-66.4000853908,-7102445.97,-384.7082875335,,,,,,,,,,,,,12379163.07,-6.2888542089,,,,,,,,,-1274703509.02,59.6923867089,-968561376.09,65.9330600239,-306142132.93,4.1287216773,,,,,,,,,,,标准无保留意见
002092.SZ,002092,中泰化学,10097478,通用,2024-09-30 00:00:00,三季报,2024三季报,058001001,2024-10-26 00:00:00,2025-10-24 00:00:00,CNY,22493111043.98,-25.7360817426,22493111043.98,-25.7360817426,,,,,,,,,,,22959930129.73,-27.3156953889,18769328650.88,-32.1443176126,,,,,336796518.7,53.1796669805,,,,,,,,,,,,,508554527.61,40.8230435426,1464582950.24,-9.1629552583,1073895002.2,12.8512354353,,,806772480.1,3.0378657759,815570645.13,5.3949592355,41186662.36,-56.8103110588,,,,,,,,,-127537422.22,39.3981814621,-164286461.5,19.7616934773,,,,,2879076.74,-20.2851944181,-48411224.25,-220.1608345378,39525156.89,332.3144606002,241182533.36,440.3179406208,,,0.0,,-359180965.23,75.9717733013,7151248.32,-41.8067318911,,,19890809.2,-16.7851380129,,,,,0.0,,-371920526.11,75.3113513283,54271606.75,-7.5438259461,,,,,,,-426192132.86,72.7697683333,,,-426192132.86,72.7697683333,,,-348072501.71,69.7040242066,-78119631.15,81.2319137084,-418678052.55,64.5423085569,,,,,-0.1351,69.7085201794,-0.1351,69.7085201794,-13997330.63,-157.9064348902,-14312144.99,-159.2088101589,314814.36,,,,,,1564384.7,3114.4912427826,,,1564384.7,3114.4912427826,,,,,,,,,-15876529.69,-165.53990393,-7347018.91,,,,,,,,,,,,,,-8529510.78,-135.2106743732,,,,,,,,,-440189463.49,71.4342784875,-362384646.7,67.7804246207,-77804816.79,81.3075472334,,,,,,,,,,,
002092.SZ,002092,中泰化学,10097478,通用,2024-06-30 00:00:00,中报,2024中报,058001001,2024-08-15 00:00:00,2025-08-16 00:00:00,CNY,15221481503.86,-25.5377061575,15221481503.86,-25.5377061575,,,,,,,,,,,15558660369.65,-27.7815701102,12995327612.6,-31.143898416,,,,,117443488.06,2.8734564104,,,,,,,,,,,,,328332349.05,34.7240207091,930952361.25,-16.981961692,659809427.78,3.8652592131,,,526795130.91,-5.2889075906,523805383.75,-0.9041029644,30127449.62,-55.4108907115,,,,,,,,,-91763591.25,36.1759569292,-91763591.25,33.5390801887,,,,,2412356.11,-2.7757531762,-24804755.11,-309.1484030053,27064811.79,192.4213009427,145665602.02,441.09704792,,,0.0,,-278604442.23,77.742765994,5162548.36,27.4258041543,,,16504618.52,86.4557582514,,,,,0.0,,-289946512.39,76.9251573934,37298856.44,6.2345019973,,,,,,,-327245368.83,74.6647065788,,,-327245368.83,74.6647065788,,,-242666087.95,73.9794483189,-84579280.88,76.4445213742,-274107584.56,71.8681442744,,,,,-0.0942,73.9850869925,-0.0942,73.9850869925,7114819.96,-75.5972891761,6800005.6,-76.6770528009,314814.36,,,,,,1564384.7,3114.4912427826,,,1564384.7,3114.4912427826,,,,,,,,,5235620.9,-82.074551799,,,,,,,,,,,,,,,5235620.9,-82.074551799,,,,,,,,,-320130548.87,74.6431697879,-235866082.35,73.8923909128,-84264466.52,76.5321977277,,,,,,,,,,,
002092.SZ,002092,中泰化学,10097478,通用,2024-03-31 00:00:00,一季报,2024一季报,058001001,2024-04-30 00:00:00,2025-04-25 00:00:00,CNY,7780206220.3,-27.331311603,7780206220.3,-27.331311603,,,,,,,,,,,8020863285.46,-28.0510636181,6719085970.17,-31.6300276352,,,,,32378680.24,42.0678597188,,,,,,,,,,,,,167822913.21,12.6290333443,545435169.53,-4.6387108216,298460793.4,-9.3719006079,,,257679758.91,4.1690213555,254477828.49,3.6689454578,17463972.18,-35.9398339594,,,,,,,,,-53860681.58,-3381.3896018918,-53860681.58,-3286.2451381733,,,,,500855.96,-75.4852770785,-39168562.12,-2344.316532651,18331563.25,450.6786657436,77384830.83,428.4459980479,,,0.0,,-237469058.82,44.0880926811,936604.48,-58.6495460182,,,4104808.65,929.6332608969,,,,,0.0,,-240637262.99,43.0920674097,6523197.73,-70.4296771044,,,,,,,-247160460.72,44.4475356557,,,-247160460.72,44.4475356557,,,-177036382.43,43.607740116,-70124078.29,46.4604448508,-185676268.48,44.7744982088,,,,,-0.0687,43.6423297785,-0.0687,43.6423297785,1383892.4,113.4468314848,1383892.4,113.4468314848,,,,,,,,,,,,,,,,,,,,,1383892.4,113.4468314848,,,,,,,,,,,,,,,1383892.4,113.4468314848,,,,,,,,,-245776568.32,46.0075185361,-175652490.03,45.8245534813,-70124078.29,46.4604448508,,,,,,,,,,,
002092.SZ,002092,中泰化学,10097478,通用,2023-12-31 00:00:00,年报,2023年报,058001001,2024-04-30 00:00:00,2025-03-15 00:00:00,CNY,37118048928.14,-28.1522231889,37118048928.14,-28.1522231889,,,,,,,,,,,39117615502.31,-22.4527041919,33579735207.24,-25.0364075439,,,,,261369482.56,-41.1364104902,,,,,,,,,,,,,499243017.07,-5.6007625988,2203522776.95,-6.8656819934,1407293100.06,11.5112047928,,,1166451918.43,11.306645821,1176010876.31,1.8529463561,124338400.46,-14.7971527461,,,,,,,,,-418123696.95,-232.6493157769,-412420386.5,-226.9425654121,,,,,3844222.26,-38.7688157376,-667912988.66,-447.0656546707,-252481283.22,-1349.910155213,182128986.2,111.904133631,,,0.0,,-3152111334.54,-312.7185303124,28031228.84,231.241760427,,,96841066.97,21.7731143023,,,,,0.0,,-3220921172.67,-328.3111800682,-35410916.45,-114.0677588045,,,,,,,-3185510256.22,-374.8398248754,,,-3185510256.22,-374.8398248754,,,-2865037237.87,-469.0745958707,-320473018.35,-183.7254549489,-2918399431.65,-535.7136088003,,,,,-1.1123,-469.0444591904,-1.1123,-469.0444591904,23071687.07,-58.478326378,21924892.68,-60.736798849,1146794.39,516.3943514893,,,,,6220337.59,1348.9443960778,,,6220337.59,1348.9443960778,,,,,,,,,15704555.09,-72.1248290431,2494639.7,142.301383991,,,,,,,,,,,,,13209915.39,-78.7745353849,,,,,,,,,-3162438569.15,-360.3670422987,-2843112345.19,-441.67229115,-319326223.96,-183.4859185192,,,,,,,,,,,标准无保留意见
