code,year,index,mean,std,min,max,p10,p90,valid_pixels,status,name,industry,group
600011,2019,NDVI,0.1322,0.322,-0.2622,0.7593,-0.2137,0.6089,36743,ok_cached,华能国际电力股份有限公司,发电,绿色
600011,2019,NDWI,-0.0816,0.2979,-0.6266,0.325,-0.5132,0.24,36743,ok_cached,华能国际电力股份有限公司,发电,绿色
600011,2021,NDVI,0.1443,0.4501,-0.4743,0.8329,-0.4054,0.6769,36743,ok_cached,华能国际电力股份有限公司,发电,绿色
600011,2021,NDWI,-0.0632,0.4646,-0.7187,0.6019,-0.5828,0.5305,36743,ok_cached,华能国际电力股份有限公司,发电,绿色
600023,2019,NDVI,0.5627,0.1782,-0.1653,0.8951,0.2998,0.7746,36134,ok_cached,浙江浙能电力股份有限公司,发电,标杆
600023,2019,NDWI,-0.5045,0.1482,-0.8102,0.2473,-0.6772,-0.2979,36134,ok_cached,浙江浙能电力股份有限公司,发电,标杆
600023,2021,NDVI,0.1182,0.0594,-0.0875,0.5506,0.0581,0.1914,24564,ok_cached,浙江浙能电力股份有限公司,发电,标杆
600023,2021,NDWI,-0.0894,0.046,-0.4694,0.0104,-0.1455,-0.0416,24564,ok_cached,浙江浙能电力股份有限公司,发电,标杆
600025,2019,NDVI,,,,,,,0,Batch job 'j-2606081321174f9ab51507179ee29ac0' didn't finish successfully. Status: error (after 0:02:51).,华能澜沧江水电股份有限公司,发电,标杆
600025,2019,NDWI,,,,,,,0,Batch job 'j-2606081324144defbaa977d7a52faa46' didn't finish successfully. Status: error (after 0:02:37).,华能澜沧江水电股份有限公司,发电,标杆
600025,2021,NDVI,,,,,,,0,Batch job 'j-260608132700450a9375bae18300a67e' didn't finish successfully. Status: error (after 0:03:41).,华能澜沧江水电股份有限公司,发电,标杆
600025,2021,NDWI,,,,,,,0,Batch job 'j-26060813304946afbb59e7cf612c19db' didn't finish successfully. Status: error (after 0:03:03).,华能澜沧江水电股份有限公司,发电,标杆
600157,2019,NDVI,,,,,,,0,Batch job 'j-2606081334034006a3d91e5cf71af6b0' didn't finish successfully. Status: error (after 0:02:46).,永泰能源股份有限公司,发电,独立测试集
600157,2019,NDWI,,,,,,,0,Batch job 'j-2606081336574a91abe05e8520c8848a' didn't finish successfully. Status: error (after 0:02:47).,永泰能源股份有限公司,发电,独立测试集
