company,year,status,tif
华能国际电力股份有限公司,2019,ok,C:\Users\28129\Desktop\共享1-数据收集与核对\data_competition\data1\geo_data\rgb_chips\华能国际电力股份有限公司_2019_rgb.tif
华能国际电力股份有限公司,2021,ok,C:\Users\28129\Desktop\共享1-数据收集与核对\data_competition\data1\geo_data\rgb_chips\华能国际电力股份有限公司_2021_rgb.tif
中国长江电力股份有限公司,2019,ok,C:\Users\28129\Desktop\共享1-数据收集与核对\data_competition\data1\geo_data\rgb_chips\中国长江电力股份有限公司_2019_rgb.tif
中国长江电力股份有限公司,2021,ok,C:\Users\28129\Desktop\共享1-数据收集与核对\data_competition\data1\geo_data\rgb_chips\中国长江电力股份有限公司_2021_rgb.tif
国电电力发展股份有限公司,2019,ok,C:\Users\28129\Desktop\共享1-数据收集与核对\data_competition\data1\geo_data\rgb_chips\国电电力发展股份有限公司_2019_rgb.tif
国电电力发展股份有限公司,2021,Batch job 'j-2606081206134e93b852aeac2726d1f2' didn't finish successfully. Status: error (after 0:09:29).,
大唐国际发电股份有限公司,2019,ok,C:\Users\28129\Desktop\共享1-数据收集与核对\data_competition\data1\geo_data\rgb_chips\大唐国际发电股份有限公司_2019_rgb.tif
大唐国际发电股份有限公司,2021,ok,C:\Users\28129\Desktop\共享1-数据收集与核对\data_competition\data1\geo_data\rgb_chips\大唐国际发电股份有限公司_2021_rgb.tif
北京京能电力股份有限公司,2019,ok,C:\Users\28129\Desktop\共享1-数据收集与核对\data_competition\data1\geo_data\rgb_chips\北京京能电力股份有限公司_2019_rgb.tif
北京京能电力股份有限公司,2021,ok,C:\Users\28129\Desktop\共享1-数据收集与核对\data_competition\data1\geo_data\rgb_chips\北京京能电力股份有限公司_2021_rgb.tif
华电能源股份有限公司,2019,ok,C:\Users\28129\Desktop\共享1-数据收集与核对\data_competition\data1\geo_data\rgb_chips\华电能源股份有限公司_2019_rgb.tif
华电能源股份有限公司,2021,ok,C:\Users\28129\Desktop\共享1-数据收集与核对\data_competition\data1\geo_data\rgb_chips\华电能源股份有限公司_2021_rgb.tif
永泰能源股份有限公司,2019,ok,C:\Users\28129\Desktop\共享1-数据收集与核对\data_competition\data1\geo_data\rgb_chips\永泰能源股份有限公司_2019_rgb.tif
永泰能源股份有限公司,2021,ok,C:\Users\28129\Desktop\共享1-数据收集与核对\data_competition\data1\geo_data\rgb_chips\永泰能源股份有限公司_2021_rgb.tif
新疆天富能源股份有限公司,2019,ok,C:\Users\28129\Desktop\共享1-数据收集与核对\data_competition\data1\geo_data\rgb_chips\新疆天富能源股份有限公司_2019_rgb.tif
新疆天富能源股份有限公司,2021,ok,C:\Users\28129\Desktop\共享1-数据收集与核对\data_competition\data1\geo_data\rgb_chips\新疆天富能源股份有限公司_2021_rgb.tif
浙江浙能电力股份有限公司,2019,ok,C:\Users\28129\Desktop\共享1-数据收集与核对\data_competition\data1\geo_data\rgb_chips\浙江浙能电力股份有限公司_2019_rgb.tif
浙江浙能电力股份有限公司,2021,ok,C:\Users\28129\Desktop\共享1-数据收集与核对\data_competition\data1\geo_data\rgb_chips\浙江浙能电力股份有限公司_2021_rgb.tif
柳州钢铁股份有限公司,2019,ok,C:\Users\28129\Desktop\共享1-数据收集与核对\data_competition\data1\geo_data\rgb_chips\柳州钢铁股份有限公司_2019_rgb.tif
柳州钢铁股份有限公司,2021,ok,C:\Users\28129\Desktop\共享1-数据收集与核对\data_competition\data1\geo_data\rgb_chips\柳州钢铁股份有限公司_2021_rgb.tif
新兴铸管股份有限公司,2019,ok,C:\Users\28129\Desktop\共享1-数据收集与核对\data_competition\data1\geo_data\rgb_chips\新兴铸管股份有限公司_2019_rgb.tif
新兴铸管股份有限公司,2021,"('Connection broken: IncompleteRead(0 bytes read, 1425 more expected)', IncompleteRead(0 bytes read, 1425 more expected))",
安阳钢铁股份有限公司,2019,ok,C:\Users\28129\Desktop\共享1-数据收集与核对\data_competition\data1\geo_data\rgb_chips\安阳钢铁股份有限公司_2019_rgb.tif
安阳钢铁股份有限公司,2021,ok,C:\Users\28129\Desktop\共享1-数据收集与核对\data_competition\data1\geo_data\rgb_chips\安阳钢铁股份有限公司_2021_rgb.tif
首钢股份有限公司,2019,ok,C:\Users\28129\Desktop\共享1-数据收集与核对\data_competition\data1\geo_data\rgb_chips\首钢股份有限公司_2019_rgb.tif
首钢股份有限公司,2021,ok,C:\Users\28129\Desktop\共享1-数据收集与核对\data_competition\data1\geo_data\rgb_chips\首钢股份有限公司_2021_rgb.tif
西宁特钢,2019,[429] Too Many Requests,
西宁特钢,2021,ok,C:\Users\28129\Desktop\共享1-数据收集与核对\data_competition\data1\geo_data\rgb_chips\西宁特钢_2021_rgb.tif
杭州钢铁股份有限公司,2019,ok,C:\Users\28129\Desktop\共享1-数据收集与核对\data_competition\data1\geo_data\rgb_chips\杭州钢铁股份有限公司_2019_rgb.tif
杭州钢铁股份有限公司,2021,Batch job 'j-2606081337474481be6c4b0635178cc2' didn't finish successfully. Status: error (after 0:02:59).,
湖南华菱钢铁股份有限公司,2019,ok,C:\Users\28129\Desktop\共享1-数据收集与核对\data_competition\data1\geo_data\rgb_chips\湖南华菱钢铁股份有限公司_2019_rgb.tif
湖南华菱钢铁股份有限公司,2021,ok,C:\Users\28129\Desktop\共享1-数据收集与核对\data_competition\data1\geo_data\rgb_chips\湖南华菱钢铁股份有限公司_2021_rgb.tif
新余钢铁股份有限公司,2019,ok,C:\Users\28129\Desktop\共享1-数据收集与核对\data_competition\data1\geo_data\rgb_chips\新余钢铁股份有限公司_2019_rgb.tif
新余钢铁股份有限公司,2021,ok,C:\Users\28129\Desktop\共享1-数据收集与核对\data_competition\data1\geo_data\rgb_chips\新余钢铁股份有限公司_2021_rgb.tif
福建三钢闽光股份有限公司,2019,ok,C:\Users\28129\Desktop\共享1-数据收集与核对\data_competition\data1\geo_data\rgb_chips\福建三钢闽光股份有限公司_2019_rgb.tif
