code,name,industry,group,roa,roe,debt_ratio,current_ratio,quick_ratio,asset_turnover,inventory_turnover,ar_turnover,cf_to_revenue,interest_coverage,roa_2019,roe_2019,debt_ratio_2019,current_ratio_2019,quick_ratio_2019,roa_2020,roe_2020,debt_ratio_2020,current_ratio_2020,quick_ratio_2020,roa_2021,roe_2021,debt_ratio_2021,current_ratio_2021,quick_ratio_2021,roa_growth
600011,华能国际电力股份有限公司,发电,绿色,-0.002312,-0.013565,0.713695,0.451987,0.386747,0.407724,16.697388,5.955337,0.164552,0.930599,0.005369,0.018983,0.717165,0.430535,0.367935,0.013016,0.040316,0.677149,0.429331,0.386471,-0.025322,-0.099995,0.746771,0.496094,0.405834,-5.716197
600900,中国长江电力股份有限公司,发电,绿色,0.077825,0.143866,0.458615,0.239946,0.234489,0.170748,67.990238,15.845454,0.694483,7.146774,0.072744,0.143768,0.494015,0.197202,0.193228,0.080121,0.148643,0.460982,0.18703,0.183435,0.08061,0.139186,0.420848,0.335606,0.326805,0.108126
600886,国投电力控股股份有限公司,发电,绿色,0.034385,0.098304,0.647745,0.625857,0.594598,0.180632,23.128326,6.22958,0.447175,3.161661,0.038853,0.117362,0.668949,0.728632,0.694767,0.042708,0.118377,0.639223,0.577777,0.551294,0.021595,0.059174,0.635064,0.571164,0.537733,-0.444192
600795,国电电力发展股份有限公司,发电,争议,0.010096,0.028222,0.684263,0.408072,0.361047,0.367638,23.972182,8.652947,0.241718,1.679725,0.013139,0.041081,0.680163,0.389895,0.344516,0.025352,0.072912,0.652295,0.413352,0.37558,-0.008202,-0.029328,0.720332,0.420969,0.363045,-1.62425
601991,大唐国际发电股份有限公司,发电,争议,-0.003346,-0.019617,0.708806,0.439832,0.388051,0.342946,20.326947,6.137113,0.195728,1.006965,0.010553,0.036418,0.71022,0.417825,0.367263,0.018963,0.058167,0.673986,0.426629,0.386817,-0.039554,-0.153437,0.742212,0.475042,0.410073,-4.748087
600578,北京京能电力股份有限公司,发电,棕色,-0.001097,-0.011262,0.638199,0.475882,0.418727,0.252952,16.030746,6.111884,0.168465,0.949094,0.021834,0.057451,0.619954,0.48499,0.424273,0.021806,0.056306,0.612718,0.490862,0.442417,-0.04693,-0.147544,0.681926,0.451795,0.389492,-3.149399
600726,华电能源股份有限公司,发电,棕色,-0.008222,-0.414882,0.910849,0.418509,0.360213,0.488703,16.421693,9.395778,0.183933,1.33544,0.003347,0.040919,0.91821,0.262817,0.232457,-0.051444,-1.441792,0.964319,0.418494,0.356236,0.023431,0.156226,0.850018,0.574216,0.491948,6.001088
600157,永泰能源股份有限公司,发电,独立测试集,0.018603,0.043773,0.617303,0.355414,0.328931,0.224014,25.653394,9.025154,0.219655,1.894142,0.002619,0.009725,0.730708,0.180986,0.163084,0.044138,0.101127,0.563536,0.355436,0.335094,0.009053,0.020467,0.557667,0.52982,0.488614,2.457128
600509,新疆天富能源股份有限公司,发电,独立测试集,-0.006469,-0.019341,0.688925,0.671463,0.571998,0.260592,8.754891,9.700419,0.208722,0.766407,-0.019655,-0.058588,0.664531,0.720465,0.552692,0.004538,0.015053,0.698496,0.622803,0.574027,-0.004292,-0.014489,0.703748,0.671119,0.589277,0.78161
600023,浙江浙能电力股份有限公司,发电,标杆,0.028407,0.042435,0.353235,1.610762,1.440704,0.518512,17.953171,8.713339,0.124635,4.370341,0.044162,0.067598,0.346699,1.869567,1.710572,0.058221,0.087362,0.333573,1.787153,1.62342,-0.017162,-0.027656,0.379432,1.175567,0.98812,-1.388624
600025,华能澜沧江水电股份有限公司,发电,标杆,0.035545,0.094208,0.621028,0.238199,0.23663,0.122303,257.950676,11.609298,0.784354,2.664735,0.03545,0.104603,0.661096,0.272467,0.271509,0.032091,0.083185,0.614218,0.280056,0.278252,0.039094,0.094836,0.587769,0.162075,0.160129,0.10279
601003,柳州钢铁股份有限公司,钢铁,绿色,0.035577,0.086073,0.58915,0.960097,0.505546,1.045396,5.828284,238.690429,0.055278,39.011737,0.04594,0.100753,0.544034,0.910763,0.591189,0.029112,0.070895,0.589358,1.01255,0.537603,0.03168,0.086571,0.634057,0.956977,0.387845,-0.310403
000778,新兴铸管股份有限公司,钢铁,绿色,0.036587,0.078341,0.533816,1.136375,0.881432,0.877068,7.189704,22.778233,0.069526,7.424106,0.032001,0.070954,0.548986,1.135902,0.878844,0.036921,0.081302,0.545879,1.122276,0.869302,0.040839,0.082768,0.506583,1.150948,0.896149,0.276165
600569,安阳钢铁股份有限公司,钢铁,争议,0.01089,0.041861,0.733135,0.792314,0.441118,0.906146,3.582263,64.531822,0.053846,1.824086,0.006226,0.022244,0.720086,0.817424,0.486296,0.005648,0.021087,0.73216,0.824394,0.452012,0.020797,0.082251,0.747159,0.735125,0.385045,2.340085
000898,鞍钢股份有限公司,钢铁,争议,0.037883,0.06161,0.389706,0.89802,0.451556,1.242767,8.402624,50.627701,0.096066,8.714436,0.020044,0.033493,0.401558,0.800654,0.466889,0.02267,0.03706,0.388297,0.830843,0.447549,0.070936,0.114277,0.379262,1.062563,0.440229,2.539073
000959,首钢股份有限公司,钢铁,争议,0.028186,0.092017,0.709895,0.401716,0.267186,0.637463,7.790551,67.427356,0.097957,3.201576,0.011523,0.042134,0.72652,0.354748,0.24199,0.016701,0.062093,0.731025,0.389201,0.251969,0.056334,0.171823,0.672141,0.461198,0.307599,3.888939
600117,西宁特钢,钢铁,棕色,-0.043877,-0.386894,0.802264,0.578895,0.387928,0.540022,4.033675,18.252377,0.082458,-0.090687,0.006791,0.029155,0.76708,0.679136,0.452928,0.005285,0.021867,0.75831,0.50848,0.327213,-0.143706,-1.211705,0.881401,0.549069,0.383643,-22.161731
600126,杭州钢铁股份有限公司,钢铁,绿色,0.044134,0.061724,0.28265,1.884865,1.559196,1.301127,13.821059,160.620815,0.054515,6.045341,0.035414,0.048647,0.272023,1.761729,1.470676,0.040959,0.056754,0.278309,2.05793,1.734441,0.056029,0.07977,0.297619,1.834936,1.472469,0.582113
000932,湖南华菱钢铁股份有限公司,钢铁,独立测试集,0.085064,0.197038,0.568662,0.828063,0.619339,1.393154,11.141809,37.384959,0.080658,23.387439,0.08021,0.204492,0.607759,0.691522,0.5121,0.076749,0.180769,0.57543,0.859562,0.624753,0.098233,0.205853,0.522798,0.933105,0.721166,0.224704
600782,新余钢铁股份有限公司,钢铁,独立测试集,0.068138,0.142741,0.523873,1.101406,0.888097,1.482376,12.620602,39.063223,0.068184,73.908313,0.07594,0.153857,0.506429,1.1472,0.93345,0.052592,0.113734,0.537589,1.039256,0.81567,0.075883,0.160633,0.527602,1.117763,0.915172,-0.000749
