seq,industry,group,code,name,facility,lat,lon,city,coord_source,verified
1,发电,绿色,600011,华能国际电力股份有限公司,华能玉环电厂,28.15,121.28,浙江台州玉环,Manual-research,NEEDS-VERIFY
2,发电,绿色,600900,中国长江电力股份有限公司,三峡水电站,30.83,111.0,湖北宜昌,Manual-research,NEEDS-VERIFY
3,发电,绿色,600886,国投电力控股股份有限公司,雅砻江二滩水电站,26.82,101.78,四川攀枝花,Manual-research,NEEDS-VERIFY
4,发电,争议,600795,国电电力发展股份有限公司,国电大同第二发电厂,40.04,113.3,山西大同,Manual-research,NEEDS-VERIFY
5,发电,争议,601991,大唐国际发电股份有限公司,大唐托克托发电厂,40.28,111.23,内蒙古托克托,Manual-research,NEEDS-VERIFY
6,发电,棕色,600578,北京京能电力股份有限公司,京能岱海发电厂,40.5,112.68,内蒙古乌兰察布,Manual-research,NEEDS-VERIFY
7,发电,棕色,600726,华电能源股份有限公司,华电富拉尔基发电厂,47.25,123.62,黑龙江齐齐哈尔,Manual-research,NEEDS-VERIFY
8,发电,独立测试集,600157,永泰能源股份有限公司,永泰能源华瀛石化,22.72,114.67,广东惠州大亚湾,Manual-research,NEEDS-VERIFY
9,发电,独立测试集,600509,新疆天富能源股份有限公司,天富热电石河子电厂,44.3,86.04,新疆石河子,Manual-research,NEEDS-VERIFY
10,发电,标杆,600023,浙江浙能电力股份有限公司,浙能嘉兴发电厂,30.63,120.83,浙江嘉兴,Manual-research,NEEDS-VERIFY
11,发电,标杆,600025,华能澜沧江水电股份有限公司,华能澜沧江小湾水电站,24.7,100.09,云南大理南涧,Manual-research,NEEDS-VERIFY
12,钢铁,绿色,601003,柳州钢铁股份有限公司,柳州钢铁集团本部,24.36,109.38,广西柳州,Manual-research,NEEDS-VERIFY
13,钢铁,绿色,000778,新兴铸管股份有限公司,新兴铸管武安工业区,36.7,114.2,河北邯郸武安,Manual-research,NEEDS-VERIFY
14,钢铁,争议,600569,安阳钢铁股份有限公司,安阳钢铁集团本部,36.11,114.3,河南安阳,Manual-research,NEEDS-VERIFY
15,钢铁,争议,000898,鞍钢股份有限公司,鞍钢集团鞍山厂区,41.13,122.98,辽宁鞍山,Manual-research,NEEDS-VERIFY
16,钢铁,争议,000959,首钢股份有限公司,首钢股份迁安厂区,40.0,118.7,河北唐山迁安,Manual-research,NEEDS-VERIFY
17,钢铁,棕色,600117,西宁特钢,西宁特钢本部,36.6,101.72,青海西宁,Manual-research,NEEDS-VERIFY
18,钢铁,棕色,600126,杭州钢铁股份有限公司,杭钢宁波钢铁基地,29.96,121.66,浙江宁波北仑,Manual-research,NEEDS-VERIFY
19,钢铁,独立测试集,000932,湖南华菱钢铁股份有限公司,华菱湘钢本部,27.82,112.93,湖南湘潭,Manual-research,NEEDS-VERIFY
