industry,group,code,name
发电,绿色,600011,华能国际电力股份有限公司
发电,绿色,600900,中国长江电力股份有限公司
发电,绿色,600886,国投电力控股股份有限公司
发电,争议,600795,国电电力发展股份有限公司
发电,争议,601991,大唐国际发电股份有限公司
发电,棕色,600578,北京京能电力股份有限公司
发电,棕色,600726,华电能源股份有限公司
发电,独立测试集,600157,永泰能源股份有限公司
发电,独立测试集,600509,新疆天富能源股份有限公司
发电,标杆,600023,浙江浙能电力股份有限公司
发电,标杆,600025,华能澜沧江水电股份有限公司
钢铁,绿色,601003,柳州钢铁股份有限公司
钢铁,绿色,000778,新兴铸管股份有限公司
钢铁,争议,600569,安阳钢铁股份有限公司
钢铁,争议,000898,鞍钢股份有限公司
钢铁,争议,000959,首钢股份有限公司
钢铁,棕色,600117,西宁特钢
钢铁,棕色,600126,杭州钢铁股份有限公司
钢铁,独立测试集,000932,湖南华菱钢铁股份有限公司
钢铁,独立测试集,600782,新余钢铁股份有限公司
钢铁,标杆,002110,福建三钢闽光股份有限公司
钢铁,标杆,000717,广东韶钢松山股份有限公司
建材,绿色,600585,安徽海螺水泥股份有限公司
建材,绿色,03323,中国建材股份有限公司
建材,绿色,000786,北新集团建材股份有限公司
建材,争议,601992,北京金隅集团股份有限公司
建材,争议,600801,华新水泥股份有限公司
建材,争议,603737,三棵树涂料股份有限公司
建材,棕色,600819,上海耀皮玻璃集团股份有限公司
建材,独立测试集,002233,广东塔牌集团股份有限公司
建材,标杆,600176,中国巨石股份有限公司
建材,标杆,600552,凯盛科技股份有限公司
有色,绿色,600497,云南驰宏锌锗股份有限公司
有色,绿色,2378,崇义章源钨业股份有限公司
有色,争议,601600,中国铝业股份有限公司（广西18）
有色,争议,600362,江西铜业股份有限公司（贵溪冶炼厂19）
有色,争议,630,铜陵有色金属集团股份有限公司（金威铜业分公司18）
有色,棕色,600531,河南豫光金铅股份有限公司23
有色,棕色,751,葫芦岛锌业股份有限公司
有色,独立测试集,600456,宝鸡钛业股份有限公司
有色,标杆,807,云南铝业股份有限公司
有色,标杆,002460,江西赣锋锂业股份有限公司
石化,绿色,600028,中国石油化工股份有限公司（金陵分公司、北京燕山分公司、济南分公司、九江分公司、镇海炼化分公司）
石化,绿色,912,四川泸天化股份有限公司
石化,争议,601857,中国石油天然气股份有限公司（独山子石化分公司、长庆石化分公司、）
石化,争议,3983,中海石油化学股份有限公司
石化,棕色,600339,中油工程建设股份有限公司
石化,棕色,600871,中石化石油工程技术服务股份有限公司
石化,独立测试集,000554,中国石化山东泰山石油股份有限公司
石化,标杆,600346,恒力石化股份有限公司（恒力石化（大连）有限公司19）
石化,标杆,2493,荣盛石化股份有限公司（逸盛大化石化有限公司19）
化工,绿色,002135,中泰化学股份有限公司
化工,绿色,002648,卫星化学股份有限公司
化工,争议,000830,鲁西化工集团股份有限公司
化工,争议,600230,沧州大化股份有限公司
化工,棕色,600409,三友化工股份有限公司
化工,棕色,000422,湖北宜化化工股份有限公司
化工,独立测试集,300082,江苏奥克化学股份有限公司
化工,标杆,600309,万华化学集团股份有限公司
化工,标杆,600426,华鲁恒升化工股份有限公司
造纸,绿色,002067,浙江景兴纸业股份有限公司
造纸,绿色,600966,山东博汇纸业股份有限公司
造纸,绿色,600963,岳阳林纸股份有限公司
造纸,争议,000815,中冶美利云产业投资股份有限公司
造纸,争议,600433,广东冠豪高新技术股份有限公司
造纸,争议,600567,山鹰国际控股股份有限公司
造纸,棕色,600356,牡丹江恒丰纸业股份有限公司
造纸,独立测试集,002511,中顺洁柔纸业股份有限公司
造纸,标杆,603165,浙江荣晟环保纸业股份有限公司
造纸,标杆,002078,山东太阳纸业股份有限公司
航空,绿色,601111,中国国际航空股份有限公司
航空,绿色,600029,中国南方航空股份有限公司
航空,争议,600115,中国东方航空股份有限公司
航空,争议,601021,春秋航空股份有限公司
航空,棕色,600897,厦门国际航空港股份有限公司
航空,棕色,600004,广州白云国际机场股份有限公司
航空,独立测试集,600221,海南航空控股股份有限公司
航空,标杆,600009,上海国际机场股份有限公司
