code,name,industry,group,year,index,lat,lon,facility
600025,华能澜沧江水电股份有限公司,发电,标杆,2019,ndvi,24.7,100.09,华能澜沧江小湾水电站
600025,华能澜沧江水电股份有限公司,发电,标杆,2019,ndwi,24.7,100.09,华能澜沧江小湾水电站
600025,华能澜沧江水电股份有限公司,发电,标杆,2021,ndvi,24.7,100.09,华能澜沧江小湾水电站
600025,华能澜沧江水电股份有限公司,发电,标杆,2021,ndwi,24.7,100.09,华能澜沧江小湾水电站
600157,永泰能源股份有限公司,发电,独立测试集,2019,ndvi,22.72,114.67,永泰能源华瀛石化
600157,永泰能源股份有限公司,发电,独立测试集,2019,ndwi,22.72,114.67,永泰能源华瀛石化
600157,永泰能源股份有限公司,发电,独立测试集,2021,ndvi,22.72,114.67,永泰能源华瀛石化
600157,永泰能源股份有限公司,发电,独立测试集,2021,ndwi,22.72,114.67,永泰能源华瀛石化
002233,广东塔牌集团股份有限公司,建材,独立测试集,2021,ndvi,24.66,116.13,塔牌集团蕉岭水泥厂
002233,广东塔牌集团股份有限公司,建材,独立测试集,2021,ndwi,24.66,116.13,塔牌集团蕉岭水泥厂
000807,云南铝业股份有限公司,有色,标杆,2019,ndvi,24.91,102.82,云南铝业呈贡铝厂
000807,云南铝业股份有限公司,有色,标杆,2019,ndwi,24.91,102.82,云南铝业呈贡铝厂
000807,云南铝业股份有限公司,有色,标杆,2021,ndvi,24.91,102.82,云南铝业呈贡铝厂
000807,云南铝业股份有限公司,有色,标杆,2021,ndwi,24.91,102.82,云南铝业呈贡铝厂
002378,崇义章源钨业股份有限公司,有色,绿色,2021,ndvi,25.68,114.3,章源钨业崇义冶炼厂
002378,崇义章源钨业股份有限公司,有色,绿色,2021,ndwi,25.68,114.3,章源钨业崇义冶炼厂
002460,江西赣锋锂业股份有限公司,有色,标杆,2021,ndwi,27.83,114.92,赣锋锂业新余生产基地
600456,宝鸡钛业股份有限公司,有色,独立测试集,2021,ndvi,34.32,107.23,宝鸡钛业宝钛工业园
600456,宝鸡钛业股份有限公司,有色,独立测试集,2021,ndwi,34.32,107.23,宝鸡钛业宝钛工业园
600497,云南驰宏锌锗股份有限公司,有色,绿色,2019,ndvi,26.38,103.58,驰宏锌锗会泽冶炼厂
600497,云南驰宏锌锗股份有限公司,有色,绿色,2019,ndwi,26.38,103.58,驰宏锌锗会泽冶炼厂
600497,云南驰宏锌锗股份有限公司,有色,绿色,2021,ndvi,26.38,103.58,驰宏锌锗会泽冶炼厂
600497,云南驰宏锌锗股份有限公司,有色,绿色,2021,ndwi,26.38,103.58,驰宏锌锗会泽冶炼厂
600531,河南豫光金铅股份有限公司23,有色,绿色,2019,ndvi,35.09,112.58,豫光金铅济源冶炼厂
600531,河南豫光金铅股份有限公司23,有色,绿色,2019,ndwi,35.09,112.58,豫光金铅济源冶炼厂
600531,河南豫光金铅股份有限公司23,有色,绿色,2021,ndvi,35.09,112.58,豫光金铅济源冶炼厂
600531,河南豫光金铅股份有限公司23,有色,绿色,2021,ndwi,35.09,112.58,豫光金铅济源冶炼厂
601600,中国铝业股份有限公司（广西18）,有色,争议,2019,ndvi,23.32,107.58,中铝广西分公司平果铝
601600,中国铝业股份有限公司（广西18）,有色,争议,2019,ndwi,23.32,107.58,中铝广西分公司平果铝
601600,中国铝业股份有限公司（广西18）,有色,争议,2021,ndvi,23.32,107.58,中铝广西分公司平果铝
601600,中国铝业股份有限公司（广西18）,有色,争议,2021,ndwi,23.32,107.58,中铝广西分公司平果铝
000912,四川泸天化股份有限公司,石化,绿色,2019,ndvi,28.77,105.37,泸天化纳溪生产基地
000912,四川泸天化股份有限公司,石化,绿色,2019,ndwi,28.77,105.37,泸天化纳溪生产基地
000912,四川泸天化股份有限公司,石化,绿色,2021,ndvi,28.77,105.37,泸天化纳溪生产基地
000912,四川泸天化股份有限公司,石化,绿色,2021,ndwi,28.77,105.37,泸天化纳溪生产基地
002493,荣盛石化股份有限公司（逸盛大化石化有限公司19）,石化,标杆,2019,ndvi,30.08,121.95,荣盛石化浙石化舟山
002493,荣盛石化股份有限公司（逸盛大化石化有限公司19）,石化,标杆,2019,ndwi,30.08,121.95,荣盛石化浙石化舟山
002493,荣盛石化股份有限公司（逸盛大化石化有限公司19）,石化,标杆,2021,ndvi,30.08,121.95,荣盛石化浙石化舟山
002493,荣盛石化股份有限公司（逸盛大化石化有限公司19）,石化,标杆,2021,ndwi,30.08,121.95,荣盛石化浙石化舟山
600028,中国石油化工股份有限公司（金陵分公司、北京燕山分公司、济南分公司、九江分公司、镇海炼化分公司）,石化,绿色,2019,ndvi,29.97,121.72,镇海炼化
600028,中国石油化工股份有限公司（金陵分公司、北京燕山分公司、济南分公司、九江分公司、镇海炼化分公司）,石化,绿色,2019,ndwi,29.97,121.72,镇海炼化
600028,中国石油化工股份有限公司（金陵分公司、北京燕山分公司、济南分公司、九江分公司、镇海炼化分公司）,石化,绿色,2021,ndvi,29.97,121.72,镇海炼化
600028,中国石油化工股份有限公司（金陵分公司、北京燕山分公司、济南分公司、九江分公司、镇海炼化分公司）,石化,绿色,2021,ndwi,29.97,121.72,镇海炼化
600339,中油工程建设股份有限公司,石化,棕色,2019,ndvi,39.95,116.38,中油工程总部
600339,中油工程建设股份有限公司,石化,棕色,2019,ndwi,39.95,116.38,中油工程总部
600339,中油工程建设股份有限公司,石化,棕色,2021,ndvi,39.95,116.38,中油工程总部
600339,中油工程建设股份有限公司,石化,棕色,2021,ndwi,39.95,116.38,中油工程总部
600346,恒力石化股份有限公司（恒力石化（大连）有限公司19）,石化,标杆,2019,ndvi,39.55,121.38,恒力石化长兴岛基地
600346,恒力石化股份有限公司（恒力石化（大连）有限公司19）,石化,标杆,2019,ndwi,39.55,121.38,恒力石化长兴岛基地
600346,恒力石化股份有限公司（恒力石化（大连）有限公司19）,石化,标杆,2021,ndvi,39.55,121.38,恒力石化长兴岛基地
600346,恒力石化股份有限公司（恒力石化（大连）有限公司19）,石化,标杆,2021,ndwi,39.55,121.38,恒力石化长兴岛基地
600688,上海石油化工股份有限公司,石化,争议,2019,ndvi,30.72,121.34,上海石化金山厂区
600688,上海石油化工股份有限公司,石化,争议,2019,ndwi,30.72,121.34,上海石化金山厂区
600688,上海石油化工股份有限公司,石化,争议,2021,ndvi,30.72,121.34,上海石化金山厂区
600688,上海石油化工股份有限公司,石化,争议,2021,ndwi,30.72,121.34,上海石化金山厂区
600871,中石化石油工程技术服务股份有限公司,石化,棕色,2019,ndvi,39.93,116.4,中石化油服总部
600871,中石化石油工程技术服务股份有限公司,石化,棕色,2019,ndwi,39.93,116.4,中石化油服总部
600871,中石化石油工程技术服务股份有限公司,石化,棕色,2021,ndvi,39.93,116.4,中石化油服总部
600871,中石化石油工程技术服务股份有限公司,石化,棕色,2021,ndwi,39.93,116.4,中石化油服总部
601857,中国石油天然气股份有限公司（独山子石化分公司、长庆石化分公司、）,石化,争议,2019,ndvi,44.33,84.85,独山子石化
601857,中国石油天然气股份有限公司（独山子石化分公司、长庆石化分公司、）,石化,争议,2019,ndwi,44.33,84.85,独山子石化
601857,中国石油天然气股份有限公司（独山子石化分公司、长庆石化分公司、）,石化,争议,2021,ndvi,44.33,84.85,独山子石化
601857,中国石油天然气股份有限公司（独山子石化分公司、长庆石化分公司、）,石化,争议,2021,ndwi,44.33,84.85,独山子石化
600256,广汇能源股份有限公司,石化,独立测试集,2019,ndvi,43.99,94.99,广汇能源哈密淖毛湖煤化工基地
600256,广汇能源股份有限公司,石化,独立测试集,2019,ndwi,43.99,94.99,广汇能源哈密淖毛湖煤化工基地
600256,广汇能源股份有限公司,石化,独立测试集,2021,ndvi,43.99,94.99,广汇能源哈密淖毛湖煤化工基地
600256,广汇能源股份有限公司,石化,独立测试集,2021,ndwi,43.99,94.99,广汇能源哈密淖毛湖煤化工基地
000422,湖北宜化化工股份有限公司,化工,棕色,2019,ndvi,30.62,111.38,湖北宜化猇亭基地
000422,湖北宜化化工股份有限公司,化工,棕色,2019,ndwi,30.62,111.38,湖北宜化猇亭基地
000422,湖北宜化化工股份有限公司,化工,棕色,2021,ndvi,30.62,111.38,湖北宜化猇亭基地
000422,湖北宜化化工股份有限公司,化工,棕色,2021,ndwi,30.62,111.38,湖北宜化猇亭基地
000830,鲁西化工集团股份有限公司,化工,争议,2019,ndvi,36.42,116.03,鲁西化工聊城工业园
000830,鲁西化工集团股份有限公司,化工,争议,2019,ndwi,36.42,116.03,鲁西化工聊城工业园
000830,鲁西化工集团股份有限公司,化工,争议,2021,ndvi,36.42,116.03,鲁西化工聊城工业园
000830,鲁西化工集团股份有限公司,化工,争议,2021,ndwi,36.42,116.03,鲁西化工聊城工业园
002092,中泰化学股份有限公司,化工,绿色,2019,ndvi,43.97,87.68,中泰化学米东工业园
002092,中泰化学股份有限公司,化工,绿色,2019,ndwi,43.97,87.68,中泰化学米东工业园
002092,中泰化学股份有限公司,化工,绿色,2021,ndvi,43.97,87.68,中泰化学米东工业园
002092,中泰化学股份有限公司,化工,绿色,2021,ndwi,43.97,87.68,中泰化学米东工业园
002648,卫星化学股份有限公司,化工,绿色,2019,ndvi,30.7,121.02,卫星化学平湖基地
002648,卫星化学股份有限公司,化工,绿色,2019,ndwi,30.7,121.02,卫星化学平湖基地
002648,卫星化学股份有限公司,化工,绿色,2021,ndvi,30.7,121.02,卫星化学平湖基地
002648,卫星化学股份有限公司,化工,绿色,2021,ndwi,30.7,121.02,卫星化学平湖基地
300082,江苏奥克化学股份有限公司,化工,独立测试集,2019,ndvi,41.25,123.18,奥克股份辽阳基地
300082,江苏奥克化学股份有限公司,化工,独立测试集,2019,ndwi,41.25,123.18,奥克股份辽阳基地
300082,江苏奥克化学股份有限公司,化工,独立测试集,2021,ndvi,41.25,123.18,奥克股份辽阳基地
300082,江苏奥克化学股份有限公司,化工,独立测试集,2021,ndwi,41.25,123.18,奥克股份辽阳基地
600230,沧州大化股份有限公司,化工,争议,2019,ndvi,38.3,117.35,沧州大化临港基地
600230,沧州大化股份有限公司,化工,争议,2019,ndwi,38.3,117.35,沧州大化临港基地
600230,沧州大化股份有限公司,化工,争议,2021,ndvi,38.3,117.35,沧州大化临港基地
600230,沧州大化股份有限公司,化工,争议,2021,ndwi,38.3,117.35,沧州大化临港基地
600309,万华化学集团股份有限公司,化工,标杆,2019,ndvi,37.55,121.18,万华化学烟台工业园
600309,万华化学集团股份有限公司,化工,标杆,2019,ndwi,37.55,121.18,万华化学烟台工业园
600309,万华化学集团股份有限公司,化工,标杆,2021,ndvi,37.55,121.18,万华化学烟台工业园
600309,万华化学集团股份有限公司,化工,标杆,2021,ndwi,37.55,121.18,万华化学烟台工业园
600409,三友化工股份有限公司,化工,绿色,2019,ndvi,39.23,118.02,三友化工南堡开发区
600409,三友化工股份有限公司,化工,绿色,2019,ndwi,39.23,118.02,三友化工南堡开发区
600409,三友化工股份有限公司,化工,绿色,2021,ndvi,39.23,118.02,三友化工南堡开发区
600409,三友化工股份有限公司,化工,绿色,2021,ndwi,39.23,118.02,三友化工南堡开发区
600426,华鲁恒升化工股份有限公司,化工,标杆,2019,ndvi,37.38,116.33,华鲁恒升德州基地
600426,华鲁恒升化工股份有限公司,化工,标杆,2019,ndwi,37.38,116.33,华鲁恒升德州基地
600426,华鲁恒升化工股份有限公司,化工,标杆,2021,ndvi,37.38,116.33,华鲁恒升德州基地
600426,华鲁恒升化工股份有限公司,化工,标杆,2021,ndwi,37.38,116.33,华鲁恒升德州基地
000815,中冶美利云产业投资股份有限公司,造纸,争议,2019,ndvi,37.52,105.2,美利云中卫基地
000815,中冶美利云产业投资股份有限公司,造纸,争议,2019,ndwi,37.52,105.2,美利云中卫基地
