code,name,industry,group,lat,lon,facility,RGB_2019,RGB_2021,NDVI_2019,NDVI_2021,NDWI_2019,NDWI_2021,done,total
000488,山东晨鸣纸业集团股份有限公司,造纸,独立测试集,36.88,118.79,晨鸣纸业寿光造纸基地,0,0,0,0,0,0,0,6
000807,云南铝业股份有限公司,有色,标杆,24.91,102.82,云南铝业呈贡铝厂,0,0,0,0,0,0,0,6
000815,中冶美利云产业投资股份有限公司,造纸,争议,37.52,105.2,美利云中卫基地,0,0,0,0,0,0,0,6
002067,浙江景兴纸业股份有限公司,造纸,绿色,30.68,121.09,景兴纸业平湖基地,0,0,0,0,0,0,0,6
002078,山东太阳纸业股份有限公司,造纸,标杆,35.55,116.83,太阳纸业兖州基地,0,0,0,0,0,0,0,6
002493,荣盛石化股份有限公司（逸盛大化石化有限公司19）,石化,标杆,30.08,121.95,荣盛石化浙石化舟山,0,0,0,0,0,0,0,6
600004,广州白云国际机场股份有限公司,航空,棕色,23.39,113.3,广州白云国际机场,0,0,0,0,0,0,0,6
600009,上海国际机场股份有限公司,航空,标杆,31.14,121.8,上海浦东国际机场,0,0,0,0,0,0,0,6
600025,华能澜沧江水电股份有限公司,发电,标杆,24.7,100.09,华能澜沧江小湾水电站,0,0,0,0,0,0,0,6
600028,中国石油化工股份有限公司（金陵分公司、北京燕山分公司、济南分公司、九江分公司、镇海炼化分公司）,石化,绿色,29.97,121.72,镇海炼化,0,0,0,0,0,0,0,6
600029,中国南方航空股份有限公司,航空,绿色,23.39,113.3,广州白云国际机场,0,0,0,0,0,0,0,6
600115,中国东方航空股份有限公司,航空,争议,31.14,121.8,上海浦东国际机场,0,0,0,0,0,0,0,6
600221,海南航空控股股份有限公司,航空,独立测试集,19.93,110.46,海口美兰国际机场,0,0,0,0,0,0,0,6
600256,广汇能源股份有限公司,石化,独立测试集,43.99,94.99,广汇能源哈密淖毛湖煤化工基地,0,0,0,0,0,0,0,6
600309,万华化学集团股份有限公司,化工,标杆,37.55,121.18,万华化学烟台工业园,0,0,0,0,0,0,0,6
600339,中油工程建设股份有限公司,石化,棕色,39.95,116.38,中油工程总部,0,0,0,0,0,0,0,6
600346,恒力石化股份有限公司（恒力石化（大连）有限公司19）,石化,标杆,39.55,121.38,恒力石化长兴岛基地,0,0,0,0,0,0,0,6
600356,牡丹江恒丰纸业股份有限公司,造纸,棕色,44.58,129.6,恒丰纸业牡丹江基地,0,0,0,0,0,0,0,6
600426,华鲁恒升化工股份有限公司,化工,标杆,37.38,116.33,华鲁恒升德州基地,0,0,0,0,0,0,0,6
600433,广东冠豪高新技术股份有限公司,造纸,争议,21.2,110.38,冠豪高新湛江基地,0,0,0,0,0,0,0,6
600567,山鹰国际控股股份有限公司,造纸,争议,31.67,118.5,山鹰国际马鞍山基地,0,0,0,0,0,0,0,6
