code,name,year,index,mean,n,status
600025,华能澜沧江水电股份有限公司,2019,NDVI,,0,[402] PaymentRequired: You do not have sufficient credits to perform this request. Please visit https://marketplace-portal.dataspace.copernicus.eu/pag
600025,华能澜沧江水电股份有限公司,2019,NDWI,,0,name 'e' is not defined
600025,华能澜沧江水电股份有限公司,2021,NDVI,,0,name 'e' is not defined
600025,华能澜沧江水电股份有限公司,2021,NDWI,,0,name 'e' is not defined
600157,永泰能源股份有限公司,2019,NDVI,,0,[402] PaymentRequired: You do not have sufficient credits to perform this request. Please visit https://marketplace-portal.dataspace.copernicus.eu/pag
600157,永泰能源股份有限公司,2019,NDWI,,0,name 'e' is not defined
600157,永泰能源股份有限公司,2021,NDVI,,0,name 'e' is not defined
600157,永泰能源股份有限公司,2021,NDWI,,0,name 'e' is not defined
002233,广东塔牌集团股份有限公司,2019,NDVI,,0,[402] PaymentRequired: You do not have sufficient credits to perform this request. Please visit https://marketplace-portal.dataspace.copernicus.eu/pag
002233,广东塔牌集团股份有限公司,2019,NDWI,,0,name 'e' is not defined
002233,广东塔牌集团股份有限公司,2021,NDVI,,0,name 'e' is not defined
002233,广东塔牌集团股份有限公司,2021,NDWI,,0,name 'e' is not defined
000807,云南铝业股份有限公司,2019,NDVI,,0,[402] PaymentRequired: You do not have sufficient credits to perform this request. Please visit https://marketplace-portal.dataspace.copernicus.eu/pag
000807,云南铝业股份有限公司,2019,NDWI,,0,name 'e' is not defined
000807,云南铝业股份有限公司,2021,NDVI,,0,name 'e' is not defined
000807,云南铝业股份有限公司,2021,NDWI,,0,name 'e' is not defined
002378,崇义章源钨业股份有限公司,2019,NDVI,,0,[402] PaymentRequired: You do not have sufficient credits to perform this request. Please visit https://marketplace-portal.dataspace.copernicus.eu/pag
002378,崇义章源钨业股份有限公司,2019,NDWI,,0,name 'e' is not defined
002378,崇义章源钨业股份有限公司,2021,NDVI,,0,name 'e' is not defined
002378,崇义章源钨业股份有限公司,2021,NDWI,,0,name 'e' is not defined
